WA00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,Area,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
53,5,10803,53005010803,6690,2625,W,11517351,11439243,53,5,10803,53005010803,6690,2625,P,11822045,11439243,11517351,11439243,100,100,97.42,100,6690,100,100,2625,100,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10805,53005010805,5917,2576,W,13025019,10924720,13025019,10924720,55.91,51.54,100,100,5917,35.9,100,2576,35.54,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10809,53005010809,6015,2614,W,3817874,3817874,3817874,3817874,16.39,18.01,100,100,6015,36.49,100,2614,36.06,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10810,53005010810,4548,2058,W,5889425,5889425,5889425,5889425,25.28,27.78,100,100,4548,27.59,100,2058,28.39,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10813,53005010813,9288,3765,P,20535288,20535288,564644,564644,2.42,2.66,2.75,2.75,2,0.01,0.02,1,0.01,0.03
53,5,10901,53005010901,6177,2376,W,7735701,7335272,53,5,10901,53005010901,6177,2376,W,7735701,7335272,7735701,7335272,100,100,100,100,6177,100,100,2376,100,100
53,5,10902,53005010902,4907,1896,W,2563578,2563578,53,5,10902,53005010902,4907,1896,W,2563578,2563578,2563578,2563578,100,100,100,100,4907,100,100,1896,100,100
53,5,11001,53005011001,4975,2166,W,5792858,4338765,53,5,11001,53005011001,4975,2166,W,5792858,4338765,5792858,4338765,100,100,100,100,4975,100,100,2166,100,100
53,5,11002,53005011002,4475,1923,W,2963068,2963068,53,5,11002,53005011002,4475,1923,W,2963068,2963068,2963068,2963068,100,100,100,100,4475,100,100,1923,100,100
53,5,11100,53005011100,7365,2722,W,5167027,5167027,53,5,11100,53005011100,7365,2722,W,5167027,5167027,5167027,5167027,100,100,100,100,7365,100,100,2722,100,100
53,5,11200,53005011200,8552,2981,W,2516756,2516756,53,5,11200,53005011200,8552,2981,W,2516756,2516756,2516756,2516756,100,100,100,100,8552,100,100,2981,100,100
53,5,11300,53005011300,5137,1910,P,7343257,5597947,53,5,11300,53005011300,5067,1881,W,6995990,5250680,6995990,5250680,95.27,93.8,100,100,5067,98.64,100,1881,98.48,100
53,5,11300,53005011300,5137,1910,P,7343257,5597947,53,5,11401,53005011401,3810,1392,P,2295638,2295638,14506,14506,0.2,0.26,0.63,0.63,10,0.19,0.26,4,0.21,0.29
53,5,11300,53005011300,5137,1910,P,7343257,5597947,53,5,11402,53005011402,5016,1845,P,7350473,7313005,147685,147685,2.01,2.64,2.01,2.02,47,0.91,0.94,20,1.05,1.08
53,5,11300,53005011300,5137,1910,P,7343257,5597947,53,5,11501,53005011501,6740,2438,P,69966132,52904598,185076,185076,2.52,3.31,0.26,0.35,13,0.25,0.19,5,0.26,0.21
53,5,11401,53005011401,3800,1388,W,2281132,2281132,53,5,11401,53005011401,3810,1392,P,2295638,2295638,2281132,2281132,100,100,99.37,99.37,3800,100,99.74,1388,100,99.71
53,5,11402,53005011402,4969,1825,W,7202788,7165320,53,5,11402,53005011402,5016,1845,P,7350473,7313005,7202788,7165320,100,100,97.99,97.98,4969,100,99.06,1825,100,98.92
53,5,11501,53005011501,6727,2433,W,69781056,52719522,53,5,11501,53005011501,6740,2438,P,69966132,52904598,69781056,52719522,100,100,99.74,99.65,6727,100,99.81,2433,100,99.79
53,5,11502,53005011502,12355,4517,P,97963338,97963338,53,5,11503,53005011503,9380,3504,W,84705089,84705089,84705089,84705089,86.47,86.47,100,100,9380,75.92,100,3504,77.57,100
53,5,11502,53005011502,12355,4517,P,97963338,97963338,53,5,11504,53005011504,2975,1013,W,13258249,13258249,13258249,13258249,13.53,13.53,100,100,2975,24.08,100,1013,22.43,100
53,5,11600,53005011600,931,377,W,1637877207,1547100775,53,5,11600,53005011600,931,377,P,1637922636,1547146204,1637877207,1547100775,100,100,100,100,931,100,100,377,100,100
53,5,11700,53005011700,7076,2613,W,35847963,35139069,53,5,11700,53005011700,7076,2613,W,35847963,35139069,35847963,35139069,100,100,100,100,7076,100,100,2613,100,100
53,5,11800,53005011800,6538,2076,P,880041687,876663471,53,5,11800,53005011800,6546,2078,P,880058373,876690161,880031282,876663070,100,100,100,100,6538,100,99.88,2076,100,99.9
53,5,11800,53005011800,6538,2076,P,880041687,876663471,53,25,11402,53025011402,13025,3702,P,1413036497,1375519803,10004,0,0,0,0,0,0,0,0,0,0,0
53,5,11800,53005011800,6538,2076,P,880041687,876663471,53,77,1800,53077001800,7140,2275,P,247272135,245445521,401,401,0,0,0,0,0,0,0,0,0,0
53,5,11900,53005011900,5808,2220,P,166156932,165138138,53,5,11900,53005011900,5808,2220,W,166155544,165136750,166155544,165136750,100,100,100,100,5808,100,100,2220,100,100
53,5,11900,53005011900,5808,2220,P,166156932,165138138,53,5,12000,53005012000,5,3,P,1166553509,1140794536,1388,1388,0,0,0,0,0,0,0,0,0,0
53,5,12000,53005012000,5,3,W,1166552121,1140793148,53,5,12000,53005012000,5,3,P,1166553509,1140794536,1166552121,1140793148,100,100,100,100,5,100,100,3,100,100
53,7,960100,53007960100,2369,1399,W,3135507043,3049112576,53,7,960100,53007960100,2369,1399,W,3135507043,3049112576,3135507043,3049112576,100,100,100,100,2369,100,100,1399,100,100
53,7,960200,53007960200,6251,5461,W,2565462868,2544956022,53,7,960200,53007960200,6251,5461,W,2565462868,2544956022,2565462868,2544956022,100,100,100,100,6251,100,100,5461,100,100
53,7,960300,53007960300,6396,4570,W,502240082,454360084,53,7,960300,53007960300,6396,4570,W,502240082,454360084,502240082,454360084,100,100,100,100,6396,100,100,4570,100,100
53,7,960400,53007960400,3813,2194,W,156148719,136950757,53,7,960400,53007960400,3813,2194,W,156148719,136950757,156148719,136950757,100,100,100,100,3813,100,100,2194,100,100
53,7,960500,53007960500,6831,2890,W,832702647,831153905,53,7,960500,53007960500,6831,2890,W,832702647,831153905,832702647,831153905,100,100,100,100,6831,100,100,2890,100,100
53,7,960600,53007960600,4064,1614,W,9513263,9051284,53,7,960600,53007960600,4064,1614,W,9513263,9051284,9513263,9051284,100,100,100,100,4064,100,100,1614,100,100
