Name,bg_id,tract_id,neighborhood,Year,Population,Population Density,Percent Families,Per Capita Household Income,Mean Household Income,Median Household Income,Ratio Mean over Median Income,perc_household_income_200k+,perc_household_income_150-200k,perc_household_income_125-150k,perc_household_income_100-125k,perc_household_income_75-100k,perc_household_income_50-75k,perc_household_income_35-50k,perc_household_income_25-35k,perc_household_income_15-25k,perc_households_income_under_15k,Percent White Non-Hispanic,Percent White Non-Hispanic Households,Percent Vacant Units,Percent Renter Occupied,perc_homes_over_1000000,perc_homes_750-1000k,perc_homes_500-$750k,perc_homes_400-500k,perc_homes_300-400k,perc_homes_250-300k,perc_homes_200-250k,perc_homes_175-200k,perc_homes_150-175k,perc_homes_125-150k,perc_homes_100-125k,perc_homes_80-100k,Median Home Value,Median Rent,Percent Rent 250-499,Percent Rent 500-749,Percent Rent 750-999,Percent Rent 1000-1249,Percent Rent 1250-1499,Percent Rent 1500-1999,Percent Rent 2000+,Percent In Structure 3-4 Units,Percent in Structures w 5+ Units,Housing Units,Median Year Moved In,Percent Moved in 1990-1999,Percent Moved in 1980-1989,Percent Moved in 1970-1979,Percent Unemployed,"Percent Families, Married w Children Under 18",Percent Non-Married Families,Percent Household 3+ Vehicles,Percent Public Transportation to Work,Percent Bachelors Degree
BG0002006,530330002006,5303300020,Olympic Hills,2017,1473,7459.5,78.1399,51470,126244.0,113014.0,1.117065142,15.1515,19.0236,9.9327,12.2896,16.4983,17.6768,7.0707,2.3569,0.0,0.0,67.4813,75.5892,4.1935,24.9158,0.0,0.0,4.9327,28.0269,46.1883,4.2601,7.8475,0.0,4.7085,0.0,0.0,0.0,363107.0,1767.0,0.0,0.0,20.2703,0.0,0.0,28.3784,22.2973,0.0,2.7419,620,2003,14.6465,7.4074,1.8519,3.7516,31.3776,21.6837,10.7745,15.8602,64.49600000000001
BG0003001,530330003001,5303300030,Haller Lake,2017,1378,4527.0,78.3745,38596,98410.0,76636.0,1.284122345,7.6208,6.5056,6.6914,10.5948,19.8885,23.6059,14.3123,6.5056,2.9739999999999998,1.3011,63.5704,73.4201,3.2374,28.2528,0.0,0.0,5.1813,6.4767,59.5855,24.3523,0.0,3.6269,0.0,0.0,0.0,0.0,335652.0,1349.0,0.0,15.7895,19.7368,4.6053,25.0,34.8684,0.0,0.0,5.3957,556,2003,12.0818,5.7621,11.71,3.8314,33.8109,20.6304,15.0557,19.2563,41.5534
BG0003002,530330003002,5303300030,Haller Lake,2017,1503,9221.7,70.8583,45867,101607.0,86682.0,1.172181076,7.4184,5.7864,12.0178,16.3205,15.8754,17.6558,10.6825,3.8576,3.1157,7.27,55.0898,65.4303,7.1625,43.0267,0.0,0.0,4.9479,0.0,45.0521,38.2813,8.3333,3.3854,0.0,0.0,0.0,0.0,300000.0,987.0,3.4483,3.7931,39.3103,14.8276,10.3448,22.7586,0.0,3.8567,13.9118,726,2004,7.4184,1.4837,1.9288,3.8278,29.3296,28.2123,14.9852,15.5473,33.7251
BG0004011,530330004011,5303300040,Haller Lake,2017,3213,13870.0,55.1509,28846,51774.0,37701.0,1.373279223,2.7436,2.3516,4.5913,2.5756,8.2307,15.2296,17.4132,11.7021,12.262,22.9003,47.6502,56.551,16.6978,80.0672,0.0,0.0,3.6517,8.427,33.7079,15.7303,0.0,10.3933,9.2697,5.0562,13.764000000000001,0.0,286607.0,877.0,0.0,11.3287,39.4406,23.2168,5.9441,1.4685,0.0,1.5858,64.2723,2144,2003,2.1837,2.5196,0.0,3.7793,24.2857,40.3175,6.9429,8.9552,30.4461
BG0004012,530330004012,5303300040,Bitter Lake,2017,1619,10303.9,61.8901,50200,100089.0,88616.0,1.129468719,8.3777,15.0266,10.3723,9.4415,14.8936,12.1011,5.8511,5.0532,7.4468,11.4362,61.0871,65.4255,6.3512,58.9096,0.0,0.0,16.1812,28.1553,14.8867,29.7735,11.0032,0.0,0.0,0.0,0.0,0.0,361702.0,961.0,0.0,10.8352,46.2754,38.8262,4.0632,0.0,0.0,2.3661,39.1034,803,2003,4.5213,1.3298,1.8617,3.7879,29.7222,28.6111,7.0479,13.3858,39.3965
BG0004013,530330004013,5303300040,Bitter Lake,2017,1415,13327.9,37.1731,29223,40260.0,29266.0,1.37565776,0.0,0.2976,2.1825,5.754,10.5159,11.2103,11.9048,14.1865,17.8571,26.0913,70.8127,74.3056,13.9932,69.8413,17.4342,0.0,9.5395,0.0,13.1579,12.8289,12.1711,24.0132,5.5921,5.2632,0.0,0.0,261538.0,401.0,35.6534,16.6193,8.3807,0.0,5.6818,5.2557,0.0,0.0,72.7816,1172,2003,2.2817,2.381,0.0,3.8523,16.3551,23.3645,6.9444,21.5359,32.0313
BG0004021,530330004021,5303300040,Bitter Lake,2017,1366,11009.1,54.5388,36309,74273.0,47450.0,1.565289779,7.4875,5.8236,2.4958,4.6589,9.1514,17.6373,16.4725,5.8236,7.6539,22.7953,69.5461,72.8785,6.2402,65.391,0.0,0.0,10.0962,5.2885,55.2885,9.6154,0.0,0.0,0.0,5.7692,8.1731,0.0,337391.0,916.0,0.0,5.0891,55.2163,18.0662,0.0,13.485999999999999,0.0,0.0,43.8378,641,2003,8.1531,3.1614,0.0,3.8402,26.9962,30.4183,7.3211,11.8211,41.1232
BG0004022,530330004022,5303300040,Haller Lake,2017,1049,3620.6,68.1602,30378,66339.0,65854.0,1.007364777,0.4357,2.6144,6.3181,13.2898,20.915,17.6471,8.4967,7.4074,8.4967,14.3791,62.4404,70.3704,4.5738,42.0479,0.0,0.0,0.0,20.6767,28.9474,25.188000000000002,25.188000000000002,0.0,0.0,0.0,0.0,0.0,299254.0,981.0,0.0,16.0622,26.943,8.8083,10.8808,28.4974,0.0,0.0,21.2058,481,2004,4.793,2.8322,0.0,3.8685,26.0504,31.5126,7.4074,21.7304,59.387
BG0004023,530330004023,5303300040,Bitter Lake,2017,1329,10666.0,66.4409,53718,110683.0,61364.0,1.803712274,11.6279,5.7364,6.0465,6.8217,11.4729,15.1938,22.9457,12.7132,5.5814,1.8605,62.8292,71.6279,5.0074,50.5426,4.3887,0.0,24.7649,29.4671,24.7649,0.0,16.6144,0.0,0.0,0.0,0.0,0.0,429474.0,959.0,0.0,3.3742,55.8282,23.6196,0.0,17.1779,0.0,5.3019,46.9809,679,2003,4.8062,8.2171,0.0,3.7538,30.0,24.1935,7.5969,20.9048,46.4217
BG0004024,530330004024,5303300040,Bitter Lake,2017,1671,10700.2,57.9892,40705,72206.0,64013.0,1.127989627,2.6403,4.5105,6.4906,12.8713,15.9516,17.1617,13.6414,9.0209,7.4807,10.231,83.6026,90.9791,4.215,64.5765,0.0,0.0,15.8385,13.6646,53.1056,10.2484,7.1429,0.0,0.0,0.0,0.0,0.0,361404.0,1118.0,0.0,12.6065,33.3901,8.5179,8.5179,3.0664,33.9012,0.0,57.3235,949,2003,6.9307,8.2508,3.7404,3.7691,24.0331,12.4309,7.5907,16.0343,48.143
