X	Y	GEO_ID_GRP	BLKGRP	GRPLABEL_TRIM	TRACT_LBL	TRTLABEL_COMP	TRTLABEL_TRIM	COUNTY	STATE	TRACT_ID	GROUP_AREA	GROUP_PERI
-122.3720705	47.7058603	530330014004	14004	14.0 4	Tract 001400	1400	14	33	53	53033001400	12153987.78	25869.66661
-122.3905352	47.69619747	530330015001	15001	15.0 1	Tract 001500	1500	15	33	53	53033001500	5622150.729	11408.83241
-122.3970547	47.69533689	530330015002	15002	15.0 2	Tract 001500	1500	15	33	53	53033001500	11310184.58	18423.29294
-122.3797154	47.70373999	530330016001	16001	16.0 1	Tract 001600	1600	16	33	53	53033001600	15820033.43	21756.02912
-122.3822641	47.6971962	530330016002	16002	16.0 2	Tract 001600	1600	16	33	53	53033001600	7120134.183	13129.98571
-122.3786431	47.69264306	530330016003	16003	16.0 3	Tract 001600	1600	16	33	53	53033001600	4026495.882	9721.488814
-122.3576254	47.69219054	530330017011	17011	17.01 1	Tract 001701	1701	17.01	33	53	53033001701	3484779.101	9238.228382
-122.3525276	47.69584192	530330017012	17012	17.01 2	Tract 001701	1701	17.01	33	53	53033001701	3281381.337	7927.010482
-122.3528876	47.70208103	530330017013	17013	17.01 3	Tract 001701	1701	17.01	33	53	53033001701	2842890.491	7933.736906
-122.3574365	47.69927977	530330017021	17021	17.02 1	Tract 001702	1702	17.02	33	53	53033001702	3698776.297	9870.98352
-122.3687249	47.69244725	530330017022	17022	17.02 2	Tract 001702	1702	17.02	33	53	53033001702	3497118.344	7946.121302
-122.3684056	47.69638018	530330017023	17023	17.02 3	Tract 001702	1702	17.02	33	53	53033001702	3167863.564	7946.01656
-122.3619711	47.69784226	530330017024	17024	17.02 4	Tract 001702	1702	17.02	33	53	53033001702	3415539.39	8057.551912
-122.3375747	47.69419707	530330018001	18001	18.0 1	Tract 001800	1800	18	33	53	53033001800	4522889.962	9723.498026
-122.3443796	47.69222377	530330018002	18002	18.0 2	Tract 001800	1800	18	33	53	53033001800	2627170.126	7420.711807
-122.3465564	47.69540516	530330018003	18003	18.0 3	Tract 001800	1800	18	33	53	53033001800	2981475.119	8213.048644
-122.3280434	47.69949345	530330019001	19001	19.0 1	Tract 001900	1900	19	33	53	53033001900	8246576.375	14978.40268
-122.3203274	47.69495247	530330019002	19002	19.0 2	Tract 001900	1900	19	33	53	53033001900	4460507.018	9318.030393
-122.3256923	47.69315281	530330019003	19003	19.0 3	Tract 001900	1900	19	33	53	53033001900	5197580.582	11464.47342
-122.3103876	47.69214698	530330020001	20001	20.0 1	Tract 002000	2000	20	33	53	53033002000	5991982.451	14838.51578
-122.3135644	47.6989859	530330020002	20002	20.0 2	Tract 002000	2000	20	33	53	53033002000	3313396.329	7312.202662
-122.3139527	47.69465304	530330020003	20003	20.0 3	Tract 002000	2000	20	33	53	53033002000	2878273.663	7310.17473
-122.2931705	47.69567359	530330021001	21001	21.0 1	Tract 002100	2100	21	33	53	53033002100	6110820.29	12983.33688
-122.3007316	47.69752741	530330021002	21002	21.0 2	Tract 002100	2100	21	33	53	53033002100	3824113.125	9293.94057
-122.3011605	47.69248714	530330021003	21003	21.0 3	Tract 002100	2100	21	33	53	53033002100	4761820.33	10128.15186
-122.2842086	47.70240013	530330022001	22001	22.0 1	Tract 002200	2200	22	33	53	53033002200	6631344.988	11762.56456
-122.2861735	47.69624555	530330022002	22002	22.0 2	Tract 002200	2200	22	33	53	53033002200	6111784.567	10785.49597
