Year,(All),
,,
Row Labels,Average of Percentage: bachelors degree or higher,
Bellevue,73.97,
Issaquah,59.83,
Kirkland,56.88,
Redmond,60.67,
Sammamish,65.72,
Seattle,56.55,
Grand Total,57.80,
