Id,Geography,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Percentage: Public transportation (excluding taxicab),Estimate; Public transportation (excluding taxicab):,Estimate; Total:,Percentage: Nonfamily household,Nonfamily household; Estimate; Total households,Total; Estimate; Total households,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Median income - families,Percentage: Renter-occupied housing units,Occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,"Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more",Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more,Estimate; Total: - 5 to 9,Estimate; Total: - 10 to 19,Estimate; Total: - 20 to 49,Estimate; Total: - 50 or more, 3 or more vehicles available,Estimate; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Estimate; Not Hispanic or Latino: - White alone,Estimate; Total:.1,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def1,increase_in_home_price_distribution_2015,def2,increase_in_workers_taking_transit_2015,def3,increase_in_non_family_households_2015,dwelling_units_5_or_more_2015,dwelling_units_3_or_4_2015,increase_in_renter_occupied_housing_units_2015,increase_in_vehicles_3_or_more,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio,CRA_NO,Neighborhood
53033000300.0,"Census Tract 3, King County, Washington",10.7,8.4,7.7,8.0,4.7,7.4,8.1,5.2,5.6,2.7,0.9,2.8,0.5,22.0,309.0,1403.0,45.0,486.0,1087.0,147.0,33.1,1919.0,64297.0,87604,44.0,1087.0,479.0,37.0,20.7,9.4,3.1,3.8,336300.0,27.0,174.0,37.0,88.0,34.0,15.0,143.0,127.0,16.0,0.71,1880.0,2637.0,2015.0,,-4.899999999999999,-37920.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,True,True,True,False,98133,0.855960265,0.8235294120000001,0.966101695,0.859635812,,
53033000300.0,"Census Tract 3, King County, Washington",10.7,8.4,7.7,8.0,4.7,7.4,8.1,5.2,5.6,2.7,0.9,2.8,0.5,22.0,309.0,1403.0,45.0,486.0,1087.0,147.0,33.1,1919.0,64297.0,87604,44.0,1087.0,479.0,37.0,20.7,9.4,3.1,3.8,336300.0,27.0,174.0,37.0,88.0,34.0,15.0,143.0,127.0,16.0,0.71,1880.0,2637.0,2015.0,,-4.899999999999999,-37920.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,True,True,True,False,98125,0.144039735,0.176470588,0.033898305,0.140364188,,
53033000300.0,"Census Tract 3, King County, Washington",5.1,4.6,13.1,7.5,10.2,10.8,5.7,6.2,2.4,4.6,1.6,1.1,2.4,15.0,206.0,1399.0,37.0,387.0,1054.0,,38.0,,61966.0,667,24.0,1054.0,257.0,191.0,92.0,17.0,48.0,34.0,346500.0,0.0,81.0,52.0,29.0,0.0,,182.0,,,0.73,1856.0,2548.0,2010.0,374220.0,,,None,,None,,None,,,,,,98133,0.855960265,0.8235294120000001,0.966101695,0.859635812,,
53033000300.0,"Census Tract 3, King County, Washington",5.1,4.6,13.1,7.5,10.2,10.8,5.7,6.2,2.4,4.6,1.6,1.1,2.4,15.0,206.0,1399.0,37.0,387.0,1054.0,,38.0,,61966.0,667,24.0,1054.0,257.0,191.0,92.0,17.0,48.0,34.0,346500.0,0.0,81.0,52.0,29.0,0.0,,182.0,,,0.73,1856.0,2548.0,2010.0,374220.0,,,None,,None,,None,,,,,,98125,0.144039735,0.176470588,0.033898305,0.140364188,,
53033000401.0,"Census Tract 4.01, King County, Washington",9.0,10.4,11.0,4.1,6.0,3.5,5.6,5.7,3.8,4.4,4.9,4.2,3.5,14.000000000000002,385.0,2691.0,65.0,2140.0,3301.0,177.0,39.4,4491.0,32472.0,57019,70.0,3301.0,2324.0,32.3,24.6,4.4,3.3,0.0,291400.0,88.0,2780.0,114.0,229.0,489.0,1948.0,129.0,93.0,36.0,0.55,3238.0,5907.0,2015.0,,9.799999999999997,-78068.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,True,False,False,False,98177,0.119824913,0.404761905,0.002688172,0.137322293,,
53033000401.0,"Census Tract 4.01, King County, Washington",9.0,10.4,11.0,4.1,6.0,3.5,5.6,5.7,3.8,4.4,4.9,4.2,3.5,14.000000000000002,385.0,2691.0,65.0,2140.0,3301.0,177.0,39.4,4491.0,32472.0,57019,70.0,3301.0,2324.0,32.3,24.6,4.4,3.3,0.0,291400.0,88.0,2780.0,114.0,229.0,489.0,1948.0,129.0,93.0,36.0,0.55,3238.0,5907.0,2015.0,,9.799999999999997,-78068.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,True,False,False,False,98133,0.880175087,0.595238095,0.997311828,0.862677707,,
53033000401.0,"Census Tract 4.01, King County, Washington",10.3,8.4,4.7,9.2,5.1,5.6,9.3,6.2,3.5,2.2,4.2,5.5,3.3,9.0,231.0,2474.0,63.0,1825.0,2913.0,,29.6,,35095.0,1088,70.0,2913.0,2030.0,675.0,364.0,108.0,21.0,182.0,342100.0,88.0,2325.0,108.0,262.0,1955.0,,195.0,,,0.62,3607.0,5805.0,2010.0,369468.0,,,None,,None,,None,,,,,,98177,0.119824913,0.404761905,0.002688172,0.137322293,,
53033000401.0,"Census Tract 4.01, King County, Washington",10.3,8.4,4.7,9.2,5.1,5.6,9.3,6.2,3.5,2.2,4.2,5.5,3.3,9.0,231.0,2474.0,63.0,1825.0,2913.0,,29.6,,35095.0,1088,70.0,2913.0,2030.0,675.0,364.0,108.0,21.0,182.0,342100.0,88.0,2325.0,108.0,262.0,1955.0,,195.0,,,0.62,3607.0,5805.0,2010.0,369468.0,,,None,,None,,None,,,,,,98133,0.880175087,0.595238095,0.997311828,0.862677707,,
53033000402.0,"Census Tract 4.02, King County, Washington",9.3,6.7,5.2,7.1,8.6,5.8,6.0,9.3,7.2,2.4,3.1,2.4,11.2,15.0,406.0,2644.0,60.0,1368.0,2299.0,274.0,53.3,3542.0,62726.0,105446,54.0,2299.0,1251.0,45.5,29.5,7.4,5.9,2.7,405400.0,84.0,1044.0,209.0,242.0,291.0,302.0,410.0,340.0,70.0,0.77,3767.0,4906.0,2015.0,,12.5,-12992.0,HaveGentrified,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,True,False,True,False,True,98177,0.140919037,0.0,0.004854369,0.125,,
53033000402.0,"Census Tract 4.02, King County, Washington",9.3,6.7,5.2,7.1,8.6,5.8,6.0,9.3,7.2,2.4,3.1,2.4,11.2,15.0,406.0,2644.0,60.0,1368.0,2299.0,274.0,53.3,3542.0,62726.0,105446,54.0,2299.0,1251.0,45.5,29.5,7.4,5.9,2.7,405400.0,84.0,1044.0,209.0,242.0,291.0,302.0,410.0,340.0,70.0,0.77,3767.0,4906.0,2015.0,,12.5,-12992.0,HaveGentrified,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,True,False,True,False,True,98133,0.8590809629999999,1.0,0.995145631,0.875,,
53033000402.0,"Census Tract 4.02, King County, Washington",4.8,8.5,8.7,4.1,7.8,8.0,5.7,2.2,3.9,2.5,3.6,3.9,12.2,15.0,312.0,2115.0,50.0,1146.0,2275.0,,40.8,,45183.0,1129,56.99999999999999,2275.0,1291.0,598.0,347.0,106.0,62.0,83.0,387400.0,0.0,1073.0,165.0,217.0,691.0,,188.0,,,0.75,3495.0,4662.0,2010.0,418392.0,,,None,,None,,None,,,,,,98177,0.140919037,0.0,0.004854369,0.125,,
