,Id,Geography,neighborhood,city,year,total population,total households,median house value,percent public transportation,percent white not hispanic,median income,median family income,percent nonfamily household,median gross rent,median_contract_rent,percent renter-occupied housing units,monthly housing costs 30+ percent of renter householdhold income,rent 35-39.9 percent of household income,rent 40-49.9 percent of household income,rent 50 percent of household income,not computed rent as percent of household income,3-4 dwelling units,5+ dwelling units,3+ vehicles available,percent bachelors degree or higher,bachelor deg 25yr+,percent bachelor deg 25yr+,children under18 in family household,children under18 in married household,"household income 20,000-29,999","household income 30,000-39,999","household income 40,000-49,999","household income 50,000-59,999","household income 60,000-74,999","household income 75,000-99,999","household income 100,000-124,999","household income 125,000-149,999","household income 150,000-199,999","household income 200,000+",total count household income,total population 25yr+,total female 25-29yr,total female 30-39yr,total female 40-49yr,total female 50-59yr,total female 60-64yr,total female 65-69yr,total female 70yr+,total male 25-29yr,total male 30-39yr,total male 40-49yr,total male 50-59yr,total male 60-64yr,total male 65-69yr,total male 70yr+,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_rent_2015,increase_in_home_price_distribution_2015,def_2
44,53033002100,"Census Tract 21, King County, Washington",Ravenna,Seattle,2015,4148,1723,448500,0.152334152,0.745178399,85759,113333,0.42542077799999994,1383,1267.0,0.307603018,34.9,53,18,89,18,56,280,286,66.2,1153,0.36042513299999995,728,645,102,78,166,125,199,257,214,122,236,139,1723,3199,262,300,240,407,107,159,151,273,348,296,388,113,64,91,484380.00000000006,3.5,-37476.0,NotEligibleForGentrification,262.0,false,NotCurrentlyGentrifying
45,53033002100,"Census Tract 21, King County, Washington",Ravenna,Seattle,2010,3482,1611,432200,0.223443223,0.702182654,74191,862,0.464928616,903,836.0,0.25698324,177.0,44,19,22,50,73,262,344,67.2,1022,0.39217191100000004,644,518,62,201,71,132,182,214,207,155,127,86,1611,2606,118,321,289,297,75,51,177,127,258,350,302,70,34,137,466776.00000000006,1.2000000000000028,-30564.0,None,-193.0,false,None
46,53033002200,"Census Tract 22, King County, Washington",Sand Point,Seattle,2015,5622,2171,569900,0.15862069,0.7874421909999999,132981,157634,0.251497006,1606,1318.0,0.075080608,46.6,0,62,29,0,0,199,335,74.1,1270,0.310210064,1249,1086,55,166,137,133,117,173,156,198,354,625,2171,4094,126,244,461,524,218,248,367,194,268,419,428,236,156,205,615492.0,4.599999999999994,29808.0,NotEligibleForGentrification,644.0,false,NotCurrentlyGentrifying
47,53033002200,"Census Tract 22, King County, Washington",Sand Point,Seattle,2010,5321,2188,612000,0.11839640300000001,0.794587484,101275,1572,0.281535649,1247,1231.0,0.170932358,188.0,26,32,34,0,0,210,391,70.5,1238,0.315494393,1154,928,34,139,207,79,306,202,252,173,300,395,2188,3924,128,302,423,430,174,65,386,175,257,375,526,244,179,260,660960.0,8.600000000000001,78084.00000000006,None,347.0,false,None
48,53033002400,"Census Tract 24, King County, Washington",Bryant,Seattle,2015,2994,1247,470600,0.175117925,0.801269205,103917,128578,0.360866079,1339,1142.0,0.287089014,35.2,16,37,102,9,52,102,214,66.7,689,0.312471655,652,505,106,86,61,31,129,119,139,163,112,235,1247,2205,130,106,235,273,140,93,128,141,181,250,269,115,72,72,508248.00000000006,9.199999999999996,43740.0,HaveGentrified,357.0,false,NotCurrentlyGentrifying
49,53033002400,"Census Tract 24, King County, Washington",Bryant,Seattle,2010,2859,1256,499500,0.180493984,0.808674362,83200,730,0.41878980899999996,1174,1016.0,0.344745223,230.0,20,44,103,10,79,213,117,75.5,854,0.41436196,676,528,80,134,124,37,111,175,119,128,146,130,1256,2061,83,266,187,256,65,48,116,120,301,177,199,95,55,93,539460.0,1.8000000000000114,28727.99999999994,None,239.0,false,None
50,53033002500,"Census Tract 25, King County, Washington",Ravenna,Seattle,2015,2981,1266,457000,0.186331776,0.865145924,101413,115927,0.441548183,1460,1436.0,0.27014218,30.1,0,57,94,9,58,126,179,70.5,888,0.395721925,623,558,40,63,111,24,59,166,211,142,132,174,1266,2244,111,369,236,160,90,116,75,120,254,300,141,143,40,89,493560.00000000006,21.10000000000001,864.0,NotEligibleForGentrification,238.0,false,NotCurrentlyGentrifying
51,53033002500,"Census Tract 25, King County, Washington",Ravenna,Seattle,2010,2957,1249,478700,0.237527115,0.7778153529999999,100266,737,0.40992794200000005,1463,1239.0,0.255404323,165.0,0,47,60,0,35,76,248,75.8,988,0.46082089600000004,508,388,70,27,43,113,109,179,247,127,180,77,1249,2144,214,267,135,260,111,72,137,121,313,156,225,54,24,55,516996.00000000006,-0.7999999999999972,9180.0,None,303.0,false,None
52,53033002600,"Census Tract 26, King County, Washington",Ravenna,Seattle,2015,4989,1919,546400,0.223829201,0.8105832829999999,91458,127024,0.409067223,1328,1218.0,0.34445023399999997,50.6,103,33,175,22,33,363,275,71.1,1486,0.414389292,978,893,78,132,170,85,198,197,209,210,199,284,1919,3586,140,394,408,327,101,127,106,435,463,397,347,113,155,73,590112.0,-0.4000000000000057,5184.0,NotEligibleForGentrification,148.0,false,NotCurrentlyGentrifying
53,53033002600,"Census Tract 26, King County, Washington",Ravenna,Seattle,2010,4456,1952,518200,0.22271944899999999,0.8256283659999999,100102,1035,0.46977459,1316,1182.0,0.261782787,282.0,11,65,113,25,49,272,241,75.2,1401,0.430679373,884,826,78,78,165,58,86,334,265,198,265,252,1952,3253,299,372,365,322,156,85,136,148,414,423,292,68,106,67,559656.0,-17.700000000000003,-86400.00000000003,None,237.0,false,None
