tract_id,neighborhood,larger_neighborhood,num_college_2000,perc_college_2000,num_grad_deg_2000,perc_grad_deg_2000,perc_bachelor_deg_2010,num_bachelor_deg_2010,num_prof_deg_2010,perc_prof_deg_2010,num_college_masters_PhD_2010,perc_college_masters_PhD_2010,perc_bachelor_deg_2011,num_bachelor_deg_2011,num_prof_deg_2011,perc_prof_deg_2011,num_college_masters_PhD_2011,perc_college_masters_PhD_2011,perc_bachelor_deg_2012,num_bachelor_deg_2012,num_prof_deg_2012,perc_prof_deg_2012,num_college_masters_PhD_2012,perc_college_masters_PhD_2012,perc_bachelor_deg_2013,num_bachelor_deg_2013,num_prof_deg_2013,perc_prof_deg_2013,num_college_masters_PhD_2013,perc_college_masters_PhD_2013,perc_bachelor_deg_2014,num_bachelor_deg_2014,num_prof_deg_2014,perc_prof_deg_2014,num_college_masters_PhD_2014,perc_college_masters_PhD_2014,perc_bachelor_deg_2015,num_bachelor_deg_2015,num_prof_deg_2015,perc_prof_deg_2015,num_college_masters_PhD_2015,perc_college_masters_PhD_2015,perc_bachelor_deg_2016,num_bachelor_deg_2016,num_prof_deg_2016,perc_prof_deg_2016,num_college_masters_PhD_2016,perc_college_masters_PhD_2016,num_bachelor_deg_2017,perc_bachelor_deg_2017,"# Education Attainment,prof_deg_2017","% Education Attainment,prof_deg_2017",num_college_masters_PhD_2017,perc_college_masters_PhD_2017
530330004011,Haller Lake,Northgate,322,24.2105,109,8.1955,28.5169,598,0,0,781,37.2437,28.6778,616,0,0,804,37.4302,21.1192,434,19,0.9246,574,27.9319,22.017,465,15,0.7102,594,28.125,20.4276,430,13,0.6176,613,29.1211,20.9932,465,14,0.6321,661,29.842,21.1066,473,14,0.6247,673,30.0312,496,21.4812,15,0.6496,703,30.4461
530330004012,Bitter Lake,Seattle,180,17.0132,58,5.482,17.3479,191,8,0.7266,342,31.0627,17.5069,191,8,0.7333,341,31.2557,19.169,203,12,1.1331,384,36.2606,24.537,265,13,1.2037,471,43.6111,26.4786,291,35,3.1847,419,38.1256,27.1201,307,35,3.0919,439,38.7809,27.4744,322,35,2.9863,459,39.1638,330,27.6614,38,3.1852,470,39.3965
530330004013,Bitter Lake,Seattle,234,19.8473,84,7.1247,18.0887,212,0,0,295,25.1706,18.2979,215,0,0,300,25.5319,21.7061,257,0,0,328,27.7027,20.0167,240,0,0,320,26.6889,22.3342,266,0,0,366,30.7305,23.2013,287,0,0,393,31.7704,23.1013,292,0,0,401,31.7247,298,23.2813,0,0,410,32.0313
530330004021,Bitter Lake,Seattle,269,26.3467,48,4.7013,26.3056,272,28,2.7079,316,30.5609,26.6341,273,29,2.8293,317,30.9268,23.4518,231,7,0.7107,256,25.9898,27.1102,273,2,0.1986,356,35.3525,32.0388,330,3,0.2913,411,39.9029,32.4478,342,4,0.3795,426,40.4175,32.5,351,4,0.3704,438,40.5556,364,32.971,4,0.3623,454,41.1232
530330004022,Haller Lake,Northgate,189,25.855,98,13.4063,33.0247,214,4,0.6173,297,45.8333,32.8173,212,4,0.6192,296,45.8204,26.5335,186,0,0,286,40.7989,39.589,289,0,0,398,54.5205,45.0928,340,15,1.9894,435,57.6923,45.4068,346,16,2.0997,443,58.1365,46.0441,355,16,2.0752,452,58.6252,364,46.4879,16,2.0434,465,59.387
530330004023,Bitter Lake,Seattle,189,21.8497,124,14.3353,35.3707,353,0,0,447,44.7896,35.4167,357,0,0,453,44.9405,29.6335,283,0,0,401,41.9895,31.0559,300,35,3.6232,388,40.1656,40.9613,392,31,3.2393,426,44.5141,42.1053,424,30,2.9791,460,45.6802,42.233,435,31,3.0097,471,45.7282,442,42.7466,33,3.1915,480,46.4217
530330004024,Bitter Lake,Seattle,151,16.1153,139,14.8346,31.5583,403,40,3.1323,527,41.2686,31.7054,409,41,3.1783,536,41.5504,35.8737,466,43,3.3102,709,54.5804,35.0718,464,22,1.6629,701,52.9856,29.7778,402,0,0,630,46.6667,30.4412,414,0,0,644,47.3529,30.4503,426,0,0,664,47.4625,443,31.0441,0,0,687,48.143
530330005001,Broadview,Seattle,432,41.8605,288,27.907,37.8178,357,131,13.8771,556,58.8983,38.0165,368,134,13.843,572,59.0909,34.472,333,147,15.2174,514,53.2091,42.668,419,109,11.0998,583,59.3686,40.203,396,118,11.9797,563,57.1574,41.3894,423,117,11.4481,595,58.2192,41.6428,436,118,11.2703,612,58.4527,448,41.8301,125,11.6713,628,58.6368
530330005002,Broadview,Seattle,218,33.5385,120,18.4615,21.2833,136,0,0,257,40.2191,21.5748,137,0,0,259,40.7874,32.9041,230,0,0,370,52.9328,41.8182,299,9,1.2587,417,58.3217,44.1217,319,17,2.3513,436,60.3043,44.9591,330,17,2.3161,451,61.4441,45.0199,339,17,2.2576,463,61.4874,353,45.8442,18,2.3377,480,62.3377
530330005003,North Beach/Blue Ridge,Seattle,268,34.1837,101,12.8827,31.4286,242,78,10.1299,436,56.6234,31.7259,250,79,10.0254,451,57.2335,29.7264,239,77,9.5771,467,58.0846,31.0134,254,53,6.4713,507,61.9048,29.5943,248,51,6.0859,483,57.6372,30.3241,262,50,5.787,505,58.4491,30.1479,265,51,5.802,513,58.3618,274,30.5463,53,5.9086,529,58.9744
