Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330084001,North Capitol Hill,Capitol Hill,BG0084001,1273,44199,275490,26.6,832,20.92,65.2,1080,86.09,0,96.94,0,0.42,8.54,509,2012
530330084002,First Hill,Downtown,BG0084002,1476,40760,580357,24.43,983,19.33,63.96,1133,83.4,0,97.88,0,0.39,10.71,520,2012
530330084003,North Capitol Hill,Capitol Hill,BG0084003,1123,37876,372368,26.8,868,28.55,67.85,852,91.28,0,97.42,0,0.38,14.29,513,2012
530330085001,Pioneer Square,Downtown,BG0085001,1155,38882,272917,14.24,847,9.95,59.74,1059,89.82,0,99.06,0,0.61,7.33,504,2012
530330085002,Yesler Terrace,Downtown,BG0085002,1026,18182,327778,20.52,630,34.22,31.48,600,92.84,6.33,84.17,0,0.55,21.01,513,2012
530330085003,International District,Downtown,BG0085003,2248,10345,0,2.34,195,79.83,40.3,439,100,0,95.67,0,0.75,20.24,512,2012
530330086001,Capitol Hill,Central Area,BG0086001,1258,41337,537037,33.11,914,27.38,57.71,783,79.02,24.52,52.49,2.8,0.56,17.65,515,2012
530330086002,Capitol Hill,Central Area,BG0086002,2733,34512,245000,39.43,1079,14.76,54.52,903,87.93,2.99,81.84,2.56,0.49,4.55,506,2012
530330086003,Capitol Hill,Central Area,BG0086003,1176,15194,625000,25.64,754,18.44,32.99,612,93.42,6.37,73.86,2.82,0.56,17.36,500,2012
530330087001,Capitol Hill,Central Area,BG0087001,1448,68056,470833,35.97,906,20.09,56.01,669,54.85,8.07,32.88,9.03,0,25.26,506,2012
530330087002,Capitol Hill,Central Area,BG0087002,1160,68000,517628,25.29,919,27.33,37.33,555,68.7,7.75,41.98,9.06,0,31.4,499,2012
530330087003,Capitol Hill,Central Area,BG0087003,1377,45253,447561,41.06,1111,23.55,42.41,688,62.54,17.44,26.89,9.05,0,25.42,515,2012
530330088001,Capitol Hill,Central Area,BG0088001,1405,72049,433951,36.87,1045,16.91,57.51,617,36.67,2.11,9.4,12.9,3.06,37.02,498,2012
530330088002,Capitol Hill,Central Area,BG0088002,1225,64046,417727,30.27,1151,19.62,48,567,46.63,4.76,12.7,12.91,3.08,30.8,497,2012
530330088003,Capitol Hill,Central Area,BG0088003,955,81048,407292,21.21,1024,15.02,36.96,448,51.44,14.96,13.84,13.16,3.11,19.64,513,2012
530330089001,Mount Baker,Rainier Valley,BG0089001,1210,177564,988839,47.34,1240,0,68.68,706,47.21,4.11,39.94,7.74,3.1,29.32,512,2012
530330089002,Atlantic,Central Area,BG0089002,1329,76250,464286,20.7,912,29.32,39.95,586,42.8,0,0.68,7.58,3.22,26.41,512,2012
530330089003,Atlantic,Central Area,BG0089003,1237,58673,371364,27.59,927,28.75,35.57,589,58.83,9.68,42.44,7.52,3.2,23.11,496,2012
530330089004,Atlantic,Central Area,BG0089004,1253,78289,397196,29.46,876,17.58,35.44,499,37.12,14.63,15.63,7.42,3.28,30.64,495,2012
530330090001,Capitol Hill,Central Area,BG0090001,1266,35309,345122,26.33,732,21.9,33.65,742,63.14,4.99,69.41,3.32,0.6,26.22,509,2012
530330090002,Capitol Hill,Central Area,BG0090002,1779,24682,353704,25.64,542,43.2,24.28,1112,81.01,3.87,75,3.48,0.67,15.9,505,2012
530330091001,Atlantic,Central Area,BG0091001,1343,17941,400000,7.39,240,35.71,6.85,687,96.63,0,90.25,0,0,20.14,493,2012
530330091002,International District,Downtown,BG0091002,1238,21569,350000,15.3,449,41.62,21.08,919,96.04,0.65,98.48,0,0,8.26,509,2012
530330092001,International District,Downtown,BG0092001,1355,11625,226786,24.31,443,29.45,26.27,1085,94.46,1.2,94.93,0,0.4,10.81,494,2012
530330092002,Pioneer Square,Downtown,BG0092002,1541,27849,1000000,16.86,853,31.39,51.72,810,94.33,1.36,92.59,0,0.4,8.05,508,2012
530330093001,North Beacon Hill,Beacon Hill,BG0093001,836,53244,282547,26.7,1071,28.96,40.31,474,60.43,1.9,87.76,9.72,1.42,16.54,493,2012
530330093002,International District,Downtown,BG0093002,393,203854,481395,14.86,0,17.33,64.12,155,35.77,24.52,58.71,10.22,1.46,0,490,2012
530330093003,North Beacon Hill,Beacon Hill,BG0093003,1170,51181,440455,14.84,676,12.75,36.41,501,45.59,0,35.33,9.69,1.54,24.3,501,2012
530330094001,North Beacon Hill,Beacon Hill,BG0094001,1171,21638,303005,5.51,626,4.41,23.91,598,79.63,0,66.56,3.85,0,25.78,494,2012
530330094002,North Beacon Hill,Beacon Hill,BG0094002,1242,34634,259659,25.19,826,25.42,38.97,716,57.92,4.33,29.89,3.92,0,23.46,494,2012
530330094003,North Beacon Hill,Beacon Hill,BG0094003,1217,46341,333333,21.23,625,34.1,20.62,467,33.64,0,2.78,3.86,0,32.48,488,2012
530330094004,North Beacon Hill,Beacon Hill,BG0094004,776,60024,566901,66.67,1039,25.48,31.44,345,67.4,54.78,12.46,4.08,0,27.54,499,2012
530330094005,North Beacon Hill,Beacon Hill,BG0094005,1511,49847,285256,25.25,1027,23.2,31.17,661,61.83,4.84,31.32,3.83,0,28.42,494,2012
530330095001,Mount Baker,Rainier Valley,BG0095001,1597,173750,658654,24.92,1616,6.24,68.88,704,18.61,0,2.27,15.13,2.27,38.64,494,2012
530330095002,North Beacon Hill,Beacon Hill,BG0095002,1612,27698,413793,14.34,688,26.02,38.4,779,51.91,5.78,30.94,14.75,2.32,22.67,495,2012
530330095003,Seward Park,Seward Park,BG0095003,1449,133333,618613,28.35,2000,14.44,72.12,587,13,0,0,14.98,2.17,40.86,490,2012
530330095004,North Beacon Hill,Beacon Hill,BG0095004,1487,43349,453750,15.9,571,26.51,31.54,588,53.83,0,37.93,14.97,2.14,33.15,493,2012
530330096001,North Admiral,West Seattle,BG0096001,758,87500,580000,34.99,1713,6.65,83.11,406,26.72,3.94,37.93,6.61,2.2,29.21,495,2012
530330096002,North Admiral,West Seattle,BG0096002,1040,56408,493750,37.8,895,19.52,79.13,740,66.57,4.32,74.46,6.81,1.97,30.59,491,2012
530330096003,North Admiral,West Seattle,BG0096003,1026,87891,751915,31.46,1043,16.63,84.99,531,34.9,14.69,16.95,6.73,2.04,31.23,488,2012
530330096004,North Admiral,West Seattle,BG0096004,1218,106154,558761,33.33,1139,12.03,85.3,569,41.82,0,23.37,6.88,2.04,32.38,480,2012
530330096005,North Admiral,West Seattle,BG0096005,1323,111328,624199,40.7,1604,7.85,81.56,858,33.11,12.7,55.36,6.68,1.91,16.77,480,2012
530330097011,North Admiral,West Seattle,BG0097011,1672,78125,758488,35.41,1047,14.69,81.34,871,52.7,4.94,26.64,8.6,1.72,29.79,478,2012
530330097012,Alki,West Seattle,BG0097012,996,76746,582992,40.91,1057,10.09,80.52,647,68.91,7.73,41.42,8.57,1.68,22.16,479,2012
530330097013,Seaview,West Seattle,BG0097013,1138,63571,460156,38.34,1194,1.62,87.43,756,54.46,23.94,43.39,8.78,1.49,16.39,488,2012
530330097014,North Admiral,West Seattle,BG0097014,1554,120777,753086,43.43,1473,12.1,85.97,815,24.43,8.22,15.34,8.54,1.6,28.54,474,2012
530330097021,North Admiral,West Seattle,BG0097021,1264,113125,447512,34.7,1375,17.02,81.49,518,20.69,0,0,14.6,2.43,39.75,477,2012
530330097022,North Admiral,West Seattle,BG0097022,997,71875,465909,30.93,2000,14.69,85.16,432,17.83,0,0,14.7,2.17,40.15,485,2012
530330097023,Seaview,West Seattle,BG0097023,856,108654,492000,57.12,929,10.2,87.27,400,18.95,0,1.5,14.74,2.37,35.29,473,2012
530330097024,North Admiral,West Seattle,BG0097024,1005,81793,422868,37.55,1330,18.43,86.87,446,13.38,0,0,14.79,2.11,42.91,485,2012
530330097025,North Admiral,West Seattle,BG0097025,1193,77365,553309,41.7,1041,10.27,82.9,579,37.15,5.01,8.46,14.6,2.4,41.46,479,2012
530330098001,North Admiral,West Seattle,BG0098001,1258,74684,562500,31.34,909,21.18,81.96,629,48.16,0,27.5,9.2,3.34,41.61,470,2012
530330098002,North Admiral,West Seattle,BG0098002,1196,114352,542749,28.55,1119,13.01,82.36,522,18.99,0,2.87,9.29,3.23,44.34,469,2012
530330098003,North Admiral,West Seattle,BG0098003,1284,91964,475263,40.41,988,19.72,83.26,580,25.95,5,4.83,9.37,3.24,44.1,467,2012
530330098004,Genesee,West Seattle,BG0098004,1320,83654,386728,27.86,1009,18.61,81.52,733,39.48,1.36,42.29,9.45,3.2,31.11,465,2012
530330098005,North Admiral,West Seattle,BG0098005,1252,67434,495238,41.65,866,22.01,79.63,638,45.03,7.68,29.78,9.6,3.31,39.25,475,2012
530330099001,North Admiral,West Seattle,BG0099001,1143,76355,534524,28.94,929,36.21,75.42,589,40.51,0,27.84,11.03,3.62,31.71,461,2012
530330099002,North Delridge,Delridge,BG0099002,1445,85417,395455,29.88,971,6.24,66.78,718,43.01,6.69,4.74,11.13,3.61,23.75,460,2012
530330099003,Fairmount Park,West Seattle,BG0099003,1233,65625,418033,42.74,979,18.85,59.29,763,63.74,3.8,54.52,11.22,3.45,25.22,461,2012
530330099004,Harbor Island,Seattle,BG0099004,1026,70100,292778,44.47,1136,18.51,63.45,588,43.71,15.99,23.81,11.22,3.48,24.41,473,2012
530330100011,North Beacon Hill,Beacon Hill,BG0100011,907,106408,378986,43.22,1085,20.41,35.72,376,29.58,0,7.18,4.79,3.66,26.89,458,2012
530330100012,North Beacon Hill,Beacon Hill,BG0100012,1510,62580,359914,22.16,409,42.05,22.45,581,53.47,0,25.82,4.56,3.83,32.34,458,2012
530330100013,North Beacon Hill,Beacon Hill,BG0100013,1510,21589,434914,14.78,213,5.25,15.83,633,75.25,1.74,52.76,4.75,3.93,24.86,458,2012
530330100021,North Beacon Hill,Beacon Hill,BG0100021,948,73438,385065,12.34,670,6.24,31.33,395,46.32,0,37.72,9.54,6.81,25.82,470,2012
530330100022,North Beacon Hill,Beacon Hill,BG0100022,1307,58073,354331,23.29,864,42.56,29.15,593,65.76,5.73,55.65,9.84,6.74,31.11,457,2012
530330100023,North Beacon Hill,Beacon Hill,BG0100023,930,79167,396094,25.44,2000,27.12,26.24,370,20.29,0,0,9.28,6.67,34.7,464,2012
530330100024,North Beacon Hill,Beacon Hill,BG0100024,1228,48080,380729,24.78,618,30.72,29.72,530,50.61,10.75,12.08,9.63,6.76,29.04,452,2012
530330101001,Seward Park,Seward Park,BG0101001,1151,71841,548491,29.2,698,9.51,56.47,519,23.12,0,20.62,12.58,2.64,29.41,466,2012
530330101002,Seward Park,Seward Park,BG0101002,1025,90160,370621,32.77,849,16.8,49.07,421,26.16,0,12.83,12.71,2.69,30.65,454,2012
530330101003,Columbia City,Rainier Valley,BG0101003,800,52955,357333,9.77,1045,23.77,21.13,271,45.38,11.07,12.18,12.05,2.41,37.57,459,2012
530330101004,Columbia City,Rainier Valley,BG0101004,1606,23953,331977,19.92,638,21.33,18.74,697,62.58,0,67.14,12.42,2.95,26.06,450,2012
530330101005,Columbia City,Rainier Valley,BG0101005,2185,71013,430645,36.2,882,17.07,36.25,877,41.98,3.99,27.25,12.36,2.82,33.27,452,2012
530330102001,Seward Park,Seward Park,BG0102001,1472,112340,604021,40.85,1581,17.24,64.06,668,17.44,1.5,0,10.08,10.72,36.12,458,2012
530330102002,Seward Park,Seward Park,BG0102002,1039,114904,575431,34.47,1125,14.61,60.83,435,13.08,0,2.07,10.41,10.9,34.04,445,2012
530330102003,Seward Park,Seward Park,BG0102003,1271,65893,398925,8.5,900,27.1,31.47,452,28.77,0,5.09,10.14,10.85,38.87,453,2012
530330102004,Seward Park,Seward Park,BG0102004,1222,72059,388438,26.62,896,13.85,56.63,533,18.55,0,5.07,9.96,10.55,33.33,451,2012
530330103001,Seward Park,Seward Park,BG0103001,966,71959,445050,23.72,1105,13.44,52.9,369,16.19,0,9.49,14.77,2.27,34.88,443,2012
530330103002,Brighton,Rainier Valley,BG0103002,1294,56175,329720,28.67,651,19.1,27.67,481,37.09,6.24,26.4,14.35,2.21,31.74,438,2012
530330103003,Brighton,Rainier Valley,BG0103003,1297,20208,336290,10.88,719,18.39,12.41,415,60.1,0,56.87,14.65,2.27,30.27,434,2012
530330103004,Columbia City,Rainier Valley,BG0103004,1156,60805,294715,30.2,1010,16.04,26.64,513,52.28,9.16,31.97,14.53,2.17,23.79,444,2012
530330103005,Columbia City,Rainier Valley,BG0103005,1364,52117,443421,19.38,818,32.16,36.66,794,72.5,2.9,30.86,14.39,2.26,26.46,447,2012
530330104011,Columbia City,Rainier Valley,BG0104011,1192,48722,397191,24.43,1311,6.78,22.73,433,30.02,5.08,0,15.98,15.25,30.88,436,2012
530330104012,Columbia City,Rainier Valley,BG0104012,1809,52854,403876,33.72,828,14.56,13.1,609,24.27,6.4,7.55,15.83,15.15,30.86,447,2012
530330104013,Columbia City,Rainier Valley,BG0104013,1531,66848,420395,27.35,1136,13.76,12.48,474,28.19,0,0,15.88,15.21,30.43,439,2012
530330104021,South Beacon Hill,Beacon Hill,BG0104021,1243,46186,469925,23.61,901,2.65,15.77,457,33.33,0,28.88,22.06,2.21,32.34,447,2012
530330104022,North Beacon Hill,Beacon Hill,BG0104022,1352,67420,346484,36.7,1055,18,20.27,465,27.09,0,0,21.9,2.26,29.3,445,2012
530330104023,North Beacon Hill,Beacon Hill,BG0104023,974,60167,370400,30.61,978,20.77,18.17,343,36,0,4.96,21.85,2.15,29.15,436,2012
530330104024,Mid-Beacon Hill,Beacon Hill,BG0104024,1243,83784,350318,18.27,875,19.8,27.92,470,33.03,0,0,22.02,2.29,33.69,443,2012
530330105001,Fairmount Park,West Seattle,BG0105001,1024,67279,310714,24.1,905,26.96,84.47,559,76.27,10.73,37.75,6.86,6.67,17.46,438,2012
530330105002,Seaview,West Seattle,BG0105002,1308,91250,443487,27.85,844,12.08,75.76,666,43.79,8.11,19.67,6.85,6.69,33.33,432,2012
530330105003,Seaview,West Seattle,BG0105003,1160,94531,493158,24.62,583,11.42,84.83,500,23.54,0,5,6.88,6.67,38.28,443,2012
530330105004,Seaview,West Seattle,BG0105004,1589,63553,425000,29.47,1078,30.05,76.71,1053,75.28,1.42,66.29,7.05,6.74,18.84,434,2012
530330105005,Seaview,West Seattle,BG0105005,1408,63194,408562,13.99,976,1.9,79.55,842,45.61,0,58.91,7.01,6.75,27.36,440,2012
530330106001,Fairmount Park,West Seattle,BG0106001,1499,103365,482661,39.13,1213,5.09,78.65,691,21.24,0,9.12,10.17,1.06,32.41,443,2012
530330106002,Seaview,West Seattle,BG0106002,1070,61680,398770,25.26,852,24.64,72.52,595,57.12,15.46,45.38,10.14,1.07,20.99,437,2012
530330106003,Seaview,West Seattle,BG0106003,1581,57251,488667,26.68,935,38.27,74.64,943,54.21,1.7,66.7,10.27,1.27,31.01,434,2012
530330106004,Seaview,West Seattle,BG0106004,928,83088,490441,29.8,959,8.59,83.41,481,36.5,0,31.19,10.18,1.11,29.66,419,2012
530330106005,Seaview,West Seattle,BG0106005,1493,121601,668103,41.38,1755,21.25,85.33,703,17.29,0,0,10.08,1.2,31.88,430,2012
530330106006,Seaview,West Seattle,BG0106006,901,60536,398165,33.51,914,18.89,80.13,501,48.41,0,25.15,10.36,1.27,27.72,418,2012
530330107011,North Delridge,Delridge,BG0107011,2182,40646,310123,6.97,642,22.35,28.23,827,61.4,6.77,32.04,11.86,0.53,27.82,426,2012
530330107012,South Delridge,Delridge,BG0107012,1276,87705,375159,33.74,890,28.99,51.49,602,49.09,0,32.89,11.64,0.55,24.54,422,2012
530330107021,North Delridge,Delridge,BG0107021,1175,80616,365203,28.13,734,2.52,50.47,492,33.12,11.38,21.54,11.4,1.51,30.15,419,2012
530330107022,High Point,Delridge,BG0107022,1438,18725,450000,32.79,234,1.02,14.6,472,82.97,0,36.23,11.35,1.53,32.34,424,2012
530330107023,High Point,Delridge,BG0107023,1137,24509,265909,27.52,659,34.16,26.56,479,79.19,0,49.06,11.41,1.34,34.69,413,2012
530330108001,OOO,Seattle,BG0108001,1416,72210,325543,23.6,1145,18.11,52.19,544,29.87,0,2.94,17.77,12.29,30.84,412,2012
530330108002,South Delridge,Delridge,BG0108002,1326,70556,308955,19.44,1243,9.1,39.22,481,27.07,0,0,17.47,12.01,32.49,413,2012
530330108003,North Delridge,Delridge,BG0108003,1979,80625,322619,27.27,1161,17.6,45.83,781,28.57,6.79,0,17.61,12.21,34.77,409,2012
530330109001,South Beacon Hill,Beacon Hill,BG0109001,752,45348,297984,13.02,840,13.98,57.45,382,60.72,2.88,11.52,9.47,7.8,28.13,412,2012
530330109002,Georgetown,Seattle,BG0109002,565,36455,329630,8.98,840,37.57,70.27,309,68.5,0,31.07,9.52,7.33,23.53,404,2012
530330110011,South Beacon Hill,Beacon Hill,BG0110011,1178,22959,315169,16.55,187,6.42,15.79,405,55.53,0,37.28,6.03,4.27,34.62,411,2012
530330110012,Brighton,Rainier Valley,BG0110012,1123,23556,357692,10.41,460,4.07,16.47,544,81.21,0,70.4,6.05,4.38,36.02,405,2012
530330110013,Dunlap,Rainier Valley,BG0110013,2355,26284,353093,19.69,729,26.56,6.33,748,59.27,11.23,14.44,6.28,4.32,34.73,415,2012
530330110021,South Beacon Hill,Beacon Hill,BG0110021,1065,64185,295500,18.38,1359,42.4,8.45,315,28.43,0,4.44,19.06,7.36,32.9,413,2012
530330110022,South Beacon Hill,Beacon Hill,BG0110022,2349,41484,319307,18.69,882,27.91,5.96,640,60.16,5,5,18.88,6.88,40.11,409,2012
530330110023,South Beacon Hill,Beacon Hill,BG0110023,1164,63043,332609,22.6,931,11.9,10.57,370,27.59,2.7,11.62,18.97,7.18,30.89,410,2012
530330111011,Brighton,Rainier Valley,BG0111011,918,32933,347273,13.62,752,31.31,12.2,417,79.75,9.83,50.6,11.65,7.85,27.93,402,2012
530330111012,Brighton,Rainier Valley,BG0111012,1149,52035,268966,7.68,635,24.41,9.05,371,41.08,5.93,3.5,11.05,7.93,28.57,409,2012
530330111013,Dunlap,Rainier Valley,BG0111013,1153,45086,331852,13.56,1201,35.73,10.93,356,35.74,0,9.83,11.71,7.81,36.61,408,2012
530330111014,Brighton,Rainier Valley,BG0111014,1328,42500,277174,16.54,958,16.16,12.2,423,27.5,0,3.07,11.5,7.75,33.56,398,2012
530330111021,Brighton,Rainier Valley,BG0111021,1240,136364,610243,25.84,0,4.99,74.68,465,14.38,0,0,4.11,2.97,31.55,407,2012
530330111022,Brighton,Rainier Valley,BG0111022,1331,34651,418125,17.92,627,27.03,27.5,469,59.5,6.61,48.4,4.35,2.75,40.97,401,2012
530330111023,Dunlap,Rainier Valley,BG0111023,932,34844,333333,10.09,633,27.99,8.37,328,77.99,0,62.2,4.21,2.91,33.83,407,2012
530330111024,Brighton,Rainier Valley,BG0111024,1073,55294,391803,23.58,630,21.65,32.53,385,39.56,0,27.01,4.4,3.02,29.67,394,2012
530330112001,Highland Park,Delridge,BG0112001,1423,38304,262712,11.01,977,18.45,29.16,530,40.3,8.68,15.47,12.37,4.05,35.03,393,2012
530330112002,Industrial District,Seattle,BG0112002,882,42665,245339,6.96,756,18.33,42.4,398,60.82,1.76,14.57,12.05,4.11,29.73,400,2012
530330112003,South Park,Seattle,BG0112003,1684,45104,311957,8.51,776,41.74,24.11,600,63.85,9.17,25.33,12.18,4.13,34.41,400,2012
530330113001,Industrial District,Seattle,BG0113001,1691,59574,425833,16.26,1063,7.22,47.31,1166,55.54,6.18,44.85,18.38,3.24,26.82,396,2012
530330113002,Highland Park,Delridge,BG0113002,1205,56636,333582,12.74,1336,16.89,35.93,439,26.78,0,4.78,18.18,2.95,32.39,400,2012
530330113003,Highland Park,Delridge,BG0113003,1043,53947,315217,52.94,898,23.22,44.01,416,39.59,14.42,0,18.27,3.05,31.9,395,2012
530330113004,Highland Park,Delridge,BG0113004,1060,79818,324839,33.07,877,14.47,54.06,437,26.25,0,0,18.14,3.1,28.46,390,2012
530330113005,Highland Park,Delridge,BG0113005,1155,53233,338344,25.73,840,16.32,52.47,500,41.49,7.6,33.2,18.09,3.19,28.68,397,2012
530330114011,South Delridge,Delridge,BG0114011,1369,59645,304688,22.76,902,10.89,44.05,650,79.67,6.77,58.31,15.21,2.15,22.5,384,2012
530330114012,South Delridge,Delridge,BG0114012,1243,61504,245893,25.63,812,13.54,45.7,594,54.19,19.87,47.47,14.8,2.14,29.17,380,2012
530330114013,Highland Park,Delridge,BG0114013,1513,75682,352023,23.25,854,17.52,48.51,584,25.23,3.94,0,15.06,2.18,27.64,377,2012
530330114021,South Delridge,Delridge,BG0114021,1106,66242,335000,26.6,929,13.46,37.07,513,44.32,7.41,27.29,10.7,0,31.68,368,2012
530330114022,Highland Park,Delridge,BG0114022,1528,32300,302475,22.8,634,26.23,31.48,634,62.71,11.04,39.27,10.48,0,36.26,365,2012
530330114023,Arbor Heights,West Seattle,BG0114023,1591,49694,315347,25.48,825,27.59,45.13,779,59.97,5.26,35.94,10.53,0,25.27,374,2012
530330115001,Roxhill,Delridge,BG0115001,1371,82324,362500,36.72,1008,19.93,77.75,597,20.87,0,0,9.57,4,36.39,374,2012
530330115002,Fauntleroy,West Seattle,BG0115002,1459,79307,352973,34.79,992,11.47,73.68,711,33.53,0,14.21,9.17,4.21,31.01,363,2012
530330115003,Roxhill,Delridge,BG0115003,1444,78285,401397,32.4,891,21.2,77.15,728,38.67,3.43,20.6,9.24,4.04,32.94,366,2012
530330116001,Fauntleroy,West Seattle,BG0116001,1254,88225,473723,32.88,1220,8.28,84.93,601,33.09,8.99,10.82,10.02,2.86,32.71,371,2012
530330116002,Fauntleroy,West Seattle,BG0116002,948,135870,482778,41.22,1750,9.09,83.65,451,16.9,0,2.88,10.19,3.01,35.25,367,2012
530330116003,Fauntleroy,West Seattle,BG0116003,1298,93134,540984,37.46,1130,13.65,83.98,596,12.97,0,0,10.12,3.02,33.98,364,2012
530330116004,Arbor Heights,West Seattle,BG0116004,1017,76974,497253,40.08,674,11.31,78.47,467,24.65,0,9.85,10.14,2.77,34.55,359,2012
530330116005,Fauntleroy,West Seattle,BG0116005,866,103846,573864,18.92,441,3.65,84.64,462,37.67,0,18.4,10,2.79,35.89,352,2012
530330116006,Seaview,West Seattle,BG0116006,1202,67742,558219,35.62,911,19.01,88.27,599,48.57,20.37,21.37,10,2.86,31.44,353,2012
530330117001,Rainier Beach,Rainier Valley,BG0117001,1532,33313,347115,17.06,982,20.51,8.16,484,49.24,8.68,0,16.05,15.84,30.22,355,2012
530330117002,Rainier Beach,Rainier Valley,BG0117002,1544,54639,313983,20.81,690,17.33,11.2,473,26.71,0,0,15.98,15.98,29.67,345,2012
530330117003,South Beacon Hill,Beacon Hill,BG0117003,1424,62623,402290,13.83,850,29.43,10.74,464,28.22,0,0,16.03,16.25,30.77,348,2012
530330117004,Rainier Beach,Rainier Valley,BG0117004,1143,47250,354286,12.19,1367,15.91,11.9,340,18.15,0,0,16.31,16,31.32,353,2012
530330118001,Rainier Beach,Rainier Valley,BG0118001,834,64634,450735,14.1,861,4.12,54.92,463,23.66,1.3,47.08,8.54,4.88,27.41,350,2012
530330118002,Rainier Beach,Rainier Valley,BG0118002,904,41940,328571,21.35,964,11.76,38.61,401,36.46,0,12.72,8.33,4.95,28.51,333,2012
530330118003,Rainier Beach,Rainier Valley,BG0118003,1121,64823,303125,23.93,1361,11.62,18.91,385,34.15,0,0,8.74,4.64,24.71,325,2012
530330118004,Rainier Beach,Rainier Valley,BG0118004,1143,21695,330952,19.39,597,44.74,10.5,509,80.05,20.24,54.81,8.49,4.59,19.5,325,2012
530330118005,Dunlap,Rainier Valley,BG0118005,1296,57054,339063,19.32,875,16.36,7.72,402,38.27,7.21,3.98,8.36,4.85,29.93,318,2012
530330118006,Dunlap,Rainier Valley,BG0118006,2332,42613,354321,3.32,754,26.07,8.49,869,79.37,21.52,51.44,8.43,4.91,31.13,323,2012
530330119001,Rainier View,Rainier Valley,BG0119001,1353,54447,399390,45.35,919,17.28,37.77,571,21.41,0,0,18.36,9.18,27.22,319,2012
530330119002,Rainier View,Rainier Valley,BG0119002,1486,60985,290083,32.86,804,6.26,31.97,596,20.62,0,0,18.02,9.36,24.26,309,2012
530330119003,Rainier View,Rainier Valley,BG0119003,1274,93581,395076,17.74,893,2.7,16.25,444,21.6,0,0,18.2,9.22,33.77,300,2012
530330119004,Rainier View,Rainier Valley,BG0119004,1542,60478,287864,18.81,1188,5.69,16.21,489,28.02,0,0,18.1,9.48,29.69,299,2012
530330119005,Rainier View,Rainier Valley,BG0119005,1641,64063,350758,18.66,1037,21.46,17.43,537,29.51,12.1,0,18.42,9.31,29.75,273,2012
530330120001,Arbor Heights,West Seattle,BG0120001,1114,83929,291865,23.06,1353,18.57,71.9,556,23.95,0,9.89,18.01,5.75,34.78,249,2012
530330120002,Arbor Heights,West Seattle,BG0120002,1220,88582,388978,22.09,1055,14.27,80.41,516,15.57,0,0,18.16,5.59,33.54,191,2012
530330120003,Arbor Heights,West Seattle,BG0120003,1101,94565,463846,33.17,1563,12.56,77.75,485,18.48,0,3.3,18.04,5.65,36.81,192,2012
530330121001,Arbor Heights,West Seattle,BG0121001,1173,110000,727099,33.08,1184,0,85.08,578,14.34,0,11.07,11.51,6.04,27.35,185,2012
530330121002,Arbor Heights,West Seattle,BG0121002,1549,103202,456563,34.85,1169,8.29,79.73,677,14.18,0,3.4,11.56,6.01,31.45,166,2012
530330260011,Bitter Lake,Seattle,BG0260011,1321,76729,388614,40.06,1125,0,39.44,541,17.86,0,0,15.53,9.9,26.43,137,2012
530330264004,Bitter Lake,Seattle,BG0264004,1433,60132,308667,20.1,967,8.43,50.31,707,49.92,11.88,50.5,10.26,3.68,19.6,15,2012
530330265001,Broadview,Seattle,BG0265001,541,62766,276136,6.53,620,0,37.34,228,59.9,0,0,15.63,4.69,25.78,2,2012
530330001001,Cedar Park,Lake City,BG0001001,1310,145149,584559,30.99,2250,5.1,73.89,590,15.94,0,0,7.97,1.45,27.52,1747,2013
530330001002,Cedar Park,Lake City,BG0001002,1304,30338,292857,27.23,825,28.21,42.02,692,83.47,6.94,61.56,8.03,1.44,26.69,1651,2013
530330001003,Cedar Park,Lake City,BG0001003,1380,49423,427966,20.58,712,14.19,54.57,765,66.81,20.26,40.39,8.16,1.55,26.37,1479,2013
530330001004,Cedar Park,Lake City,BG0001004,1577,28426,92000,13.79,752,25.03,32.59,883,93.72,3.51,85.5,8.13,1.23,25.41,1392,2013
530330001005,Cedar Park,Lake City,BG0001005,971,47600,347059,35.58,977,28.97,52.42,656,90.05,0,85.67,8.06,1.54,17.02,1364,2013
530330002001,Olympic Hills,Lake City,BG0002001,1118,70833,354167,28.15,1310,10.96,57.69,468,27.44,9.4,2.78,9.52,2.04,31.73,1347,2013
530330002002,Victory Heights,Lake City,BG0002002,1439,51550,362963,30.29,813,15.7,51.49,622,47.17,0,32.48,9.61,1.72,28.41,1241,2013
530330002003,Pinehurst,Northgate,BG0002003,1590,61257,328736,35.03,915,37.37,56.23,869,71.69,1.96,72.27,9.6,1.82,24.86,1244,2013
530330002004,Pinehurst,Northgate,BG0002004,1111,53992,338776,26.91,1012,14.29,63.1,606,41.05,6.6,45.71,9.47,1.93,21.35,1245,2013
530330002005,Pinehurst,Northgate,BG0002005,1400,37500,326923,34.76,882,9.06,62.14,736,47.31,10.19,46.06,9.63,1.84,26.27,1192,2013
