Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330008002,Matthews Beach,Lake City,BG0008002,1415,75702,420339,32.27,1138,19.51,78.37,583,16.87,0,4.8,5.68,9.24,41.12,902,2010
530330009001,Matthews Beach,Lake City,BG0009001,1093,97204,593750,32.2,1313,9.9,81.24,479,34.9,0,9.6,21.25,2.91,25.97,897,2010
530330009002,Victory Heights,Seattle,BG0009002,926,126607,815848,23.77,875,19.55,80.89,427,19.54,0,9.13,21.08,3.08,62.78,893,2010
530330010001,Matthews Beach,Lake City,BG0010001,902,61298,380435,10.22,875,4.88,58.31,382,38.08,6.81,17.54,10.96,1.1,34.17,890,2010
530330010002,Matthews Beach,Lake City,BG0010002,1039,90116,512605,31.42,833,6.84,73.63,420,30,2.62,20,10.75,1,40.91,885,2010
530330011001,Maple Leaf,Northgate,BG0011001,1223,82595,395802,34.61,733,9.5,68.27,581,44.34,4.82,17.56,8.49,10.19,45,883,2010
530330011002,Maple Leaf,Northgate,BG0011002,1280,77899,380357,22.03,1074,11.69,75.23,554,33.52,1.62,18.77,8.14,10.42,25.57,881,2010
530330012001,Maple Leaf,Northgate,BG0012001,1262,74265,375936,46.52,1054,12.45,73.14,543,39.03,0,17.68,4.08,1.55,29.43,870,2010
530330012002,Maple Leaf,Northgate,BG0012002,1149,47882,445000,25.87,819,46.73,57.01,557,77.86,3.23,60.5,4.01,1.53,33.87,864,2010
530330012003,Maple Leaf,Northgate,BG0012003,1349,21257,187736,33.59,522,41.85,63.6,1002,87.2,1.4,94.51,4.12,1.52,0,863,2010
530330012004,Maple Leaf,Northgate,BG0012004,1217,40921,231500,26.97,936,30.43,46.34,676,80.79,15.83,79.44,4.13,1.59,5.41,858,2010
530330012005,Maple Leaf,Northgate,BG0012005,1517,39593,205385,33.16,888,20.96,49.18,903,77.51,0,76.3,4.11,1.45,22.32,856,2010
530330013001,North College Park,Northgate,BG0013001,1593,42324,300000,28.2,813,17.61,65.47,869,71.25,16,54.32,3.22,1.49,16.31,852,2010
530330013002,North College Park,Northgate,BG0013002,1361,41611,291038,13.98,697,33.84,49.38,680,76.15,3.82,55.29,3.48,1.58,6.51,850,2010
530330013003,North College Park,Northgate,BG0013003,1386,56213,448165,47.36,878,7.53,61.98,739,71.2,6.77,43.44,3.47,1.3,27.3,846,2010
530330014001,Bitter Lake,Seattle,BG0014001,1072,67257,407979,20,803,4.11,77.15,539,43.29,5.75,30.98,12.8,4.27,10.98,846,2010
530330014002,Bitter Lake,Seattle,BG0014002,1071,82750,423478,28.27,940,25.86,78.99,516,37.4,0,29.07,12.82,4.41,39.09,842,2010
530330014003,Bitter Lake,Seattle,BG0014003,1360,52817,398026,25.3,810,15.69,68.31,670,66.2,2.09,26.57,12.93,4.36,7.76,839,2010
530330014004,Crown Hill,Seattle,BG0014004,1345,94481,457488,33.5,1500,9.96,86.69,582,4.63,0,0,12.99,4.27,25.85,838,2010
530330015001,Loyal Heights,Ballard,BG0015001,1205,89890,583633,38.08,866,6.94,90.21,539,19.03,0,10.95,16.5,5.05,40.73,832,2010
530330015002,Sunset Hill,Ballard,BG0015002,1249,113007,601190,25.71,922,4.43,89.67,586,9.34,0,5.12,16.7,5.03,33.33,830,2010
530330016001,Crown Hill,Seattle,BG0016001,1375,130797,800962,34.67,1568,8.41,91.42,567,8.58,0,0,10.58,3.83,37.06,827,2010
530330016002,Loyal Heights,Ballard,BG0016002,1342,104938,636603,38.22,2000,13.07,86.51,567,5.66,0,0,10.4,3.83,31.93,824,2010
530330016003,Whittier Heights,Ballard,BG0016003,1414,62500,415169,32.4,771,13.43,72.21,713,43.47,3.09,29.17,10.57,3.96,26.61,811,2010
530330017011,Greenwood,Seattle,BG0017011,1605,53198,380000,39.07,909,21.18,60.93,891,59.14,0,67.45,9.5,3.44,38.51,807,2010
530330017012,Greenwood,Seattle,BG0017012,1113,62050,286957,37.14,717,16.8,77.18,624,38.8,2.4,44.71,9.4,3.42,8.33,807,2010
530330017013,Bitter Lake,Seattle,BG0017013,1100,57216,331818,44.42,617,12.62,69.73,536,42.06,15.3,26.31,9.52,3.37,17.19,805,2010
530330017021,Bitter Lake,Seattle,BG0017021,1322,57348,397727,38.55,722,14.3,69.59,734,59.91,5.04,36.38,9.54,3.52,26.76,803,2010
