Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0002003, King County, WA",1541,48500,335897,27.5862,878,21.0468,59.5717,842,69.5597,0,76.1282,7.5472,3.6478,13.7168,1208,2011,,,,,,,,,,
"BG0002004, King County, WA",1049,69712,332407,25.5373,884,16.0535,65.9676,571,25.4206,5.9545,44.3081,7.6636,3.5514,12,1191,2011,,,,,,,,,,
"BG0002005, King County, WA",1318,49907,353271,31.0536,750,18.3155,65.0986,691,47.6551,8.2489,52.2432,7.7156,3.4796,26.1364,1136,2011,,,,,,,,,,
"BG0002006, King County, WA",1342,84375,355986,39.7649,567,13.4349,71.0879,564,12.4767,0,4.6099,7.635,3.1657,58.9812,1090,2011,,,,,,,,,,
"BG0003001, King County, WA",1252,75298,341235,30.5895,735,15.7973,67.0927,503,21.281,0,6.7595,9.5041,6.1984,30.6306,1116,2011,,,,,,,,,,
"BG0003002, King County, WA",1340,60981,337838,25.717,737,20.1399,59.7015,651,26.8456,0,7.3733,9.5638,6.0403,26.9022,1110,2011,,,,,,,,,,
"BG0004011, King County, WA",2904,38679,280191,28.6778,774,5.1769,52.376,1979,63.1086,6.1142,57.706,4.8065,0.9988,13.6,1103,2011,,,,,,,,,,
"BG0004012, King County, WA",1430,72222,395690,17.5069,835,14.4218,65.2448,710,58.2317,1.6901,36.338,4.7256,1.0671,43.3803,1063,2011,,,,,,,,,,
"BG0004013, King County, WA",1270,22601,285473,18.2979,408,14.0825,74.1732,1074,76.3596,2.7002,84.2643,4.6615,1.1099,46.2687,1093,2011,,,,,,,,,,
"BG0004021, King County, WA",1213,52669,404605,26.6341,935,20.3361,73.1245,565,63.4799,0,53.2743,6.6922,1.5296,40.2542,1068,2011,,,,,,,,,,
"BG0004022, King County, WA",936,51370,354396,32.8173,706,15.2401,66.453,429,53.4483,0,38.2284,6.8966,1.4778,29.8246,1056,2011,,,,,,,,,,
"BG0004023, King County, WA",1208,50948,374038,35.4167,923,15.7212,66.8874,616,57.1429,0,61.6883,6.8847,1.5491,33.3333,1033,2011,,,,,,,,,,
"BG0004024, King County, WA",1505,58871,375000,31.7054,1025,14.1604,85.8472,848,49.3797,0,40.6839,6.9479,1.3648,54.9206,1041,2011,,,,,,,,,,
"BG0005001, King County, WA",1263,148790,674877,38.0165,0,2.4793,88.0443,530,0,0,0,28.2353,4.3137,36.4583,1037,2011,,,,,,,,,,
"BG0005002, King County, WA",871,85904,486598,21.5748,875,15.4394,83.2377,368,3.0812,0,0,27.7311,4.4818,31.1284,1003,2011,,,,,,,,,,
"BG0005003, King County, WA",1077,101355,546774,31.7259,1750,3.4749,85.7939,464,2.9885,0,0,27.8161,4.3678,48.3051,983,2011,,,,,,,,,,
"BG0006001, King County, WA",1441,55048,365287,22.1163,909,2.9077,63.0118,564,27.5547,0,18.7943,10.219,3.6496,23.7342,983,2011,,,,,,,,,,
"BG0006002, King County, WA",1169,38462,416379,29.1569,858,30.9696,58.5115,631,72.3154,0,65.6101,9.8993,3.6913,21.1618,970,2011,,,,,,,,,,
"BG0006003, King County, WA",1429,70920,357197,19.2164,1020,35.6164,64.1707,671,17.7847,0,19.9702,10.1404,3.5881,25.2809,939,2011,,,,,,,,,,
"BG0006004, King County, WA",1564,59081,343939,32.2581,833,22.9452,52.4297,734,37.058,8.4469,14.8502,10.0424,3.5361,24.3781,958,2011,,,,,,,,,,
"BG0006005, King County, WA",815,71759,358763,48.2549,196,0,66.8712,314,11.1111,0,0,10.101,3.367,56.9149,939,2011,,,,,,,,,,
"BG0006006, King County, WA",1317,72635,354000,21.8456,724,15.6085,55.2771,660,37.1575,0,35.7576,10.1027,3.4247,36.8664,955,2011,,,,,,,,,,
"BG0007001, King County, WA",1557,38339,282692,21.8924,805,31.3008,47.4631,912,80,5.5921,76.4254,8.0982,3.5583,16.2791,954,2011,,,,,,,,,,
"BG0007002, King County, WA",1158,52371,383673,39.7421,693,19.917,59.8446,557,67.6529,4.4883,62.4775,8.0868,3.9448,8.254,939,2011,,,,,,,,,,
"BG0007003, King County, WA",859,53947,365714,41.4414,1292,14.7601,66.8219,419,45.9596,0,30.5489,8.0808,3.5354,34.5361,939,2011,,,,,,,,,,
"BG0007004, King County, WA",898,74375,434043,19.2513,859,10.0179,69.1537,415,46.7337,3.1325,25.0603,8.0402,3.7688,29.5082,908,2011,,,,,,,,,,
"BG0008001, King County, WA",1194,64286,382759,29.8077,668,17.9577,70.1005,512,30.9623,0,4.4922,5.6485,9.4142,42.6667,926,2011,,,,,,,,,,
"BG0008002, King County, WA",1445,75702,422404,32.6087,1163,19.7623,77.9239,594,16.9284,0,4.7138,5.5846,9.2496,40.9091,919,2011,,,,,,,,,,
"BG0009001, King County, WA",1122,97115,598039,32.4232,1325,9.9338,80.9269,489,35.0877,0,9.407,21.0526,2.8509,25.9574,901,2011,,,,,,,,,,
"BG0009002, King County, WA",942,127431,818478,23.7903,875,20.1207,80.7856,434,19.5431,0,8.9862,20.8122,3.0457,62.6866,883,2011,,,,,,,,,,
"BG0010001, King County, WA",898,61792,382778,10.2867,875,5.1064,57.7951,380,38.3978,7.1053,17.3685,10.7735,1.105,34.1772,883,2011,,,,,,,,,,
"BG0010002, King County, WA",1035,89535,517708,31.5493,885,7.2056,73.3333,417,30.0505,2.6379,20.1439,10.6061,1.0101,40.7895,888,2011,,,,,,,,,,
"BG0011001, King County, WA",1235,82969,398828,34.7734,741,9.7592,67.6923,586,44.6529,4.9488,17.5767,8.4428,10.5066,45,873,2011,,,,,,,,,,
"BG0011002, King County, WA",1309,78521,382746,22.3007,1075,11.9628,74.7899,565,33.6431,1.5929,18.938,7.9926,10.7807,25.419,884,2011,,,,,,,,,,
"BG0012001, King County, WA",1274,74583,377568,46.4912,1063,12.8571,72.449,547,39.1892,0,17.7331,4.0541,1.5444,29.4326,860,2011,,,,,,,,,,
"BG0012002, King County, WA",1168,48017,450000,25.9494,828,47.4441,56.5069,565,77.9661,3.3628,60.177,3.9548,1.5066,33.5106,859,2011,,,,,,,,,,
"BG0012003, King County, WA",1376,21140,187963,33.6921,525,42.5584,63.1541,1022,87.2204,1.3699,94.6184,4.0469,1.491,0,877,2011,,,,,,,,,,
"BG0012004, King County, WA",1241,41127,232143,27.1889,946,30.9859,45.8501,689,80.8112,15.9652,79.3904,4.0562,1.5601,5.3476,848,2011,,,,,,,,,,
"BG0012005, King County, WA",1505,39841,206641,33.4217,892,21.4943,48.7708,897,77.6284,0,76.3656,4.0342,1.467,22.1239,854,2011,,,,,,,,,,
"BG0013001, King County, WA",1594,42238,304000,28.2975,817,18.0312,64.6801,870,71.4286,16.2069,54.138,3.2298,1.4907,16.1585,842,2011,,,,,,,,,,
"BG0013002, King County, WA",1351,41395,292647,14.0772,702,34.5112,48.9267,675,76.1981,4,54.3704,3.5144,1.5974,6.6038,866,2011,,,,,,,,,,
"BG0013003, King County, WA",1408,56286,449091,47.7171,882,7.7181,61.5767,749,71.3877,6.8091,43.1242,3.4335,1.2876,27.1186,852,2011,,,,,,,,,,
"BG0014001, King County, WA",1066,67411,410638,20.2115,808,4.2789,76.6416,535,43.6214,5.9813,30.6542,12.7572,4.5268,11.1765,862,2011,,,,,,,,,,
"BG0014002, King County, WA",1072,82908,425862,28.5047,944,26.4062,78.6381,516,37.5527,0,29.0698,12.6582,4.6414,39.0164,845,2011,,,,,,,,,,
"BG0014003, King County, WA",1351,52536,404545,25.5721,819,15.9847,67.6536,663,66.4038,2.1116,26.2443,12.776,4.4164,7.8873,830,2011,,,,,,,,,,
"BG0014004, King County, WA",1339,94079,459709,33.6041,1500,10.2151,86.109,579,4.6595,0,0,12.9032,4.4803,25.8567,854,2011,,,,,,,,,,
"BG0015001, King County, WA",1194,89925,589029,38.3938,872,7.1221,89.7822,533,19.0945,0,10.6942,16.3386,5.1181,40.404,822,2011,,,,,,,,,,
"BG0015002, King County, WA",1276,113500,606788,25.8691,919,4.576,89.185,597,9.5238,0,5.0251,16.5785,5.1146,33.1507,821,2011,,,,,,,,,,
"BG0016001, King County, WA",1391,131690,803435,34.7518,1545,8.542,91.1574,572,8.6957,0,0,10.5072,3.9855,36.8812,818,2011,,,,,,,,,,
"BG0016002, King County, WA",1347,104784,637605,38.408,2000,13.4238,86.0431,567,5.6673,0,0,10.2377,4.0219,32.0106,815,2011,,,,,,,,,,
"BG0016003, King County, WA",1404,62318,418750,32.7014,792,13.8075,71.7236,706,43.685,3.2578,28.7536,10.5498,4.0119,26.5027,825,2011,,,,,,,,,,
"BG0017011, King County, WA",1622,53416,385437,39.0167,913,21.5285,60.4192,896,59.2899,0,67.4108,9.4675,3.5503,38.3178,805,2011,,,,,,,,,,
"BG0017012, King County, WA",1121,62388,295455,37.3425,726,17.1994,76.3604,628,39.0119,2.3885,44.7452,9.3697,3.5775,8.3333,810,2011,,,,,,,,,,
"BG0017013, King County, WA",1107,57088,344318,44.4965,620,12.8368,69.196,538,42.3762,15.6134,26.0223,9.505,3.3663,17.2727,802,2011,,,,,,,,,,
"BG0017021, King County, WA",1336,57530,400602,38.5269,736,14.7436,69.2365,739,60.0877,5.1421,36.5359,9.5029,3.655,26.699,806,2011,,,,,,,,,,
"BG0017022, King County, WA",1030,65361,368045,29.0398,733,4.9069,79.2233,484,25.9657,0,16.9422,9.4421,3.4335,21.9424,786,2011,,,,,,,,,,
"BG0017023, King County, WA",1011,73095,426316,22.4566,774,28.9116,73.1949,410,68.8775,15.8537,39.7561,9.4388,3.5714,34.6821,796,2011,,,,,,,,,,
"BG0017024, King County, WA",892,63830,373377,34.0909,1375,12.6789,71.1883,386,16.4894,0,0,9.5745,3.4575,13.9373,784,2011,,,,,,,,,,
"BG0018001, King County, WA",1499,80104,408264,50.0511,980,19.7802,65.1768,669,55.4502,0,18.2362,6.951,1.5798,38.961,801,2011,,,,,,,,,,
"BG0018002, King County, WA",1488,72270,342236,38.0331,941,17.509,70.2285,782,70.8447,14.4501,33.8875,7.0845,1.4986,44.3902,781,2011,,,,,,,,,,
"BG0018003, King County, WA",1584,66580,352201,44.0553,892,30.8874,67.298,854,67.7835,4.3326,35.0117,7.0876,1.5464,17.2996,795,2011,,,,,,,,,,
"BG0019001, King County, WA",1567,60684,284177,37.5517,874,16.0173,59.4767,1159,29.2121,3.1061,54.8749,9.4546,4,24.4792,786,2011,,,,,,,,,,
"BG0019002, King County, WA",1379,77500,423494,41.1273,916,15.6028,78.2451,583,27.5311,5.6604,12.1783,9.2362,4.0853,36.0656,765,2011,,,,,,,,,,
"BG0019003, King County, WA",1257,71733,380120,35.0052,1547,16.22,78.8385,533,29.2398,1.3133,20.0751,9.3567,4.2885,25.2964,764,2011,,,,,,,,,,
"BG0020001, King County, WA",1503,74600,418689,33.4529,952,17.5936,76.314,800,29.8898,0,27.875,8.8154,3.4435,31.8182,772,2011,,,,,,,,,,
"BG0020002, King County, WA",997,68234,382143,45.9119,948,16.9877,78.0341,463,28.8939,0,10.3672,8.8036,3.1603,30.5344,785,2011,,,,,,,,,,
"BG0020003, King County, WA",933,97468,407661,45.5944,1353,14.0281,84.1372,424,13.1841,1.8868,11.0849,8.7065,3.2338,38.4937,769,2011,,,,,,,,,,
"BG0021001, King County, WA",1535,85652,435401,42.5258,1293,14.1148,84.1694,671,11.4062,0,8.9419,16.25,3.125,45.6464,771,2011,,,,,,,,,,
"BG0021002, King County, WA",898,68614,373913,34.3988,728,18.1637,74.4989,427,33.0073,2.1077,41.4519,16.1369,2.934,42.4779,778,2011,,,,,,,,,,
"BG0021003, King County, WA",1404,73796,400596,37.1191,864,23.3046,70.5128,684,37.3626,9.2105,18.4211,16.1695,3.1397,24.1758,778,2011,,,,,,,,,,
"BG0022001, King County, WA",1487,128175,591019,32.3241,1601,10.0275,81.1029,605,10.1027,0,1.6529,15.411,1.0274,44.4924,777,2011,,,,,,,,,,
"BG0022002, King County, WA",1413,89286,441053,29.406,1375,16.0661,79.1224,588,25.2708,0,0,15.343,1.083,24.8101,776,2011,,,,,,,,,,
"BG0022003, King County, WA",1255,117448,624038,33.0875,1028,4.9307,77.6892,553,13.4357,0,1.085,15.1631,1.1516,34.4512,773,2011,,,,,,,,,,
"BG0022004, King County, WA",1122,122059,801020,38.6091,1120,10.7206,83.3333,518,13.913,0,20.2703,15.4348,1.087,37.8917,769,2011,,,,,,,,,,
"BG0024001, King County, WA",981,83578,528716,45.4913,1436,15.5635,85.7289,406,21.7391,0,0,6.6496,4.8593,37.234,762,2011,,,,,,,,,,
"BG0024002, King County, WA",824,70625,479412,46.1131,898,24.3952,75.2427,401,61.2987,9.4763,48.3791,6.7533,4.9351,43.2836,770,2011,,,,,,,,,,
"BG0024003, King County, WA",1194,113971,459375,34.3115,1642,16.1932,81.9095,496,12.4473,0,2.621,6.5401,5.0633,44.3478,747,2011,,,,,,,,,,
"BG0025001, King County, WA",1395,105907,469753,51.9268,1256,19.8992,78.4229,620,13.0288,0,0,14.89,5.4146,40.5172,764,2011,,,,,,,,,,
"BG0025002, King County, WA",1428,101786,469565,39.4175,1272,30.3842,81.4426,686,41.3374,7.5802,9.3295,14.8936,5.3192,44.3182,754,2011,,,,,,,,,,
"BG0026001, King County, WA",1072,85455,460902,45.4806,945,28.1471,81.1567,484,46.7249,0,22.7272,6.9869,2.1834,54.0373,734,2011,,,,,,,,,,
"BG0026002, King County, WA",1282,132031,563265,47.7341,1199,27.2941,86.2715,533,17.2816,1.1257,0.9381,6.9903,2.1359,33.7017,734,2011,,,,,,,,,,
"BG0026003, King County, WA",1362,94308,490164,46.3826,1142,15.4261,77.7533,638,32.6496,0.627,24.9216,6.6667,1.8803,45.8955,742,2011,,,,,,,,,,
"BG0026004, King County, WA",969,113942,502301,34.728,1057,16.0377,79.4634,408,12.1134,10.049,0.7353,6.701,2.0619,47.4654,740,2011,,,,,,,,,,
"BG0027001, King County, WA",1413,83402,444361,39.794,1105,28.2492,83.3687,629,37.0861,0,28.4578,9.106,3.808,15.534,739,2011,,,,,,,,,,
"BG0027002, King County, WA",1335,113298,528433,43.6202,1216,14.7816,81.8727,573,10.6742,0.8726,0,8.6142,3.9326,40.2477,726,2011,,,,,,,,,,
"BG0027003, King County, WA",1076,79449,648374,29.7688,1201,20.8108,81.4126,518,42.9175,9.6525,25.8687,8.6681,4.0169,35.7447,727,2011,,,,,,,,,,
"BG0027004, King County, WA",1471,98020,543532,37.5774,1296,9.5142,80.9653,689,27.1875,7.2569,14.9492,8.4375,3.75,27.8638,744,2011,,,,,,,,,,
"BG0028001, King County, WA",1214,74795,476471,44.9686,1060,16.8446,84.514,573,29.7101,2.2688,12.5654,14.4928,1.087,45.122,728,2011,,,,,,,,,,
"BG0028002, King County, WA",889,70714,491447,42.9371,976,16.5079,83.1271,453,27.1226,1.766,11.0375,14.6226,1.1793,48.9362,717,2011,,,,,,,,,,
"BG0028003, King County, WA",1012,85560,464286,46.651,1157,31.9718,82.8063,562,60.1518,5.516,37.3665,14.4213,1.518,8.9041,715,2011,,,,,,,,,,
"BG0028004, King County, WA",1403,90761,439831,51.958,1299,18.5654,77.1205,652,40.4531,4.7546,16.8712,14.4013,1.1327,36.1404,729,2011,,,,,,,,,,
"BG0029001, King County, WA",1425,78960,444390,27.3675,658,13.9957,83.1579,662,31.746,1.0574,32.0241,7.9365,3.0159,27.7955,710,2011,,,,,,,,,,
"BG0029002, King County, WA",1405,113953,535072,40.0193,1371,7.9546,87.4733,639,15.8576,0,1.7214,7.9288,3.2363,58.8235,731,2011,,,,,,,,,,
"BG0029003, King County, WA",1393,102885,451944,40.5505,1229,18.8764,84.135,637,28.3361,0.6279,17.4254,8.0725,3.2949,42.3529,718,2011,,,,,,,,,,
"BG0030001, King County, WA",1641,94286,449819,47.4131,1131,12.7561,85.131,723,16.1473,2.0747,0,10.4816,0.8499,39.3939,720,2011,,,,,,,,,,
"BG0030002, King County, WA",1362,79798,440047,32.1649,1272,13.6792,82.5991,606,32.1306,5.6106,6.2707,10.1375,1.0309,40.3042,705,2011,,,,,,,,,,
"BG0030003, King County, WA",1441,82237,468827,37.0192,918,17.0811,86.0514,636,33.6066,7.5472,11.3208,10.3279,0.8197,36.0269,726,2011,,,,,,,,,,
"BG0030004, King County, WA",1322,88750,467204,40.159,1106,10.52,82.9047,585,21.8807,3.2479,4.7863,10.4882,0.9042,56.8323,718,2011,,,,,,,,,,
"BG0031001, King County, WA",1173,67979,448701,44.2874,451,9.7489,86.6155,501,13.7577,0,17.3652,17.8645,5.5442,29.9094,702,2011,,,,,,,,,,
"BG0031002, King County, WA",1102,91071,473737,55.7471,967,14.2631,88.5662,511,12.9555,0,4.5009,17.8138,5.4656,35.6401,697,2011,,,,,,,,,,
"BG0031003, King County, WA",1277,111404,498047,48.9614,809,32.3298,83.4769,555,32.5368,8.6487,19.0992,17.6471,5.5147,43.4426,718,2011,,,,,,,,,,
"BG0031004, King County, WA",1389,113559,494783,25.9843,1161,13.1443,88.1209,580,11.2727,0,0,18,5.6364,43.2665,695,2011,,,,,,,,,,
"BG0031005, King County, WA",1309,89306,584980,31.887,908,16.1423,87.8533,587,3.351,0,2.385,17.8131,5.6437,36.9048,707,2011,,,,,,,,,,
"BG0032001, King County, WA",927,99638,404478,49.8387,782,30.7273,89.5361,470,32.1429,0,39.5745,4.4643,1.1161,28.3217,711,2011,,,,,,,,,,
"BG0032002, King County, WA",1175,58873,406429,44.0201,843,19.4293,81.8723,687,68.9127,13.3916,40.9025,4.441,1.2251,18.2692,698,2011,,,,,,,,,,
"BG0032003, King County, WA",1096,62729,420430,49.1089,828,33.0472,84.7628,704,64.4042,21.3068,57.3864,4.3741,1.3575,33.0709,706,2011,,,,,,,,,,
"BG0032004, King County, WA",1107,49935,529167,34.1676,785,22.6471,86.7209,744,75.6028,10.0806,63.3065,4.6809,1.1348,16.6667,696,2011,,,,,,,,,,
"BG0032005, King County, WA",736,97297,573864,45.4044,1241,12.1655,87.6359,333,37.0253,0,19.5195,4.4304,1.2658,35.3741,703,2011,,,,,,,,,,
"BG0032006, King County, WA",1602,58703,660714,33.3333,1121,26.7087,91.3233,856,33.758,4.4393,25.3505,4.586,1.2739,36.0849,699,2011,,,,,,,,,,
"BG0032007, King County, WA",1122,102542,516484,16.4983,625,7.9365,87.5223,486,4.6809,0,7.4074,4.4681,1.0638,49.8246,703,2011,,,,,,,,,,
"BG0033001, King County, WA",1172,112633,469536,30.0106,984,12.9199,87.7133,549,16.3842,2.1858,4.3716,7.9096,2.0716,54.712,690,2011,,,,,,,,,,
"BG0033002, King County, WA",1133,67883,453419,32.3851,1131,16.7315,82.3477,552,50.3831,10.3261,11.413,7.6628,1.9157,26.1818,680,2011,,,,,,,,,,
"BG0033003, King County, WA",1733,58248,440909,42.408,884,29.2468,78.9383,993,69.7551,17.7241,32.3263,7.7742,2.1299,3.7572,698,2011,,,,,,,,,,
"BG0033004, King County, WA",1168,64985,442857,31.6265,847,33.8045,80.137,664,77.1791,25.3012,38.253,7.9239,2.2187,6.5421,685,2011,,,,,,,,,,
"BG0033005, King County, WA",1090,89826,482540,34.9081,885,19.382,84.4954,489,51.4894,2.2495,17.9959,7.6596,2.3404,32.5733,684,2011,,,,,,,,,,
"BG0034001, King County, WA",1168,92018,552419,37.8289,867,7.7608,85.9589,551,24.4701,11.0708,4.7187,8.8632,1.9268,40.2985,673,2011,,,,,,,,,,
"BG0034002, King County, WA",1160,102361,532328,45.2514,904,9.6692,88.9655,532,27.3973,0,15.6016,8.8063,1.7613,43.3962,684,2011,,,,,,,,,,
"BG0034003, King County, WA",1042,81971,540761,35.4628,883,14.6479,84.8369,486,29.2842,10.2881,9.6708,8.6768,1.9523,37.8855,673,2011,,,,,,,,,,
"BG0035001, King County, WA",1432,94524,592571,41.7309,1058,21.4286,87.6397,698,29.7015,4.1547,11.3181,4.4776,2.5373,38.2022,667,2011,,,,,,,,,,
"BG0035002, King County, WA",1367,94620,599673,39.7099,861,17.7305,86.9788,684,48.3384,11.4035,17.1054,4.3807,2.4169,50.5155,685,2011,,,,,,,,,,
"BG0035003, King County, WA",1198,76389,537671,32.0551,836,10.6757,85.0584,553,53.8462,5.0633,36.3472,4.5365,2.7613,39.6648,663,2011,,,,,,,,,,
"BG0036001, King County, WA",1279,53299,402439,51.4751,912,13.1387,78.4206,690,79.0769,10.5797,56.2319,4.7692,1.2308,53.8462,661,2011,,,,,,,,,,
"BG0036002, King County, WA",1279,62222,450820,46.9847,898,19.8824,78.577,840,71.7557,13.0952,67.8572,4.5802,1.2723,0,661,2011,,,,,,,,,,
"BG0036003, King County, WA",1291,122070,587707,44.3062,675,18.4615,81.8745,581,34.7048,0,6.0241,4.8301,1.2522,35.6083,663,2011,,,,,,,,,,
"BG0036004, King County, WA",1853,65278,503505,47.4727,973,28.2031,79.7626,1257,72.7993,11.2172,66.9849,4.6655,1.4085,30.0275,657,2011,,,,,,,,,,
"BG0038001, King County, WA",1091,107227,575000,38.0615,646,17.806,80.2017,542,14.8148,3.1365,13.0996,5.2632,1.3645,55.4318,656,2011,,,,,,,,,,
"BG0038002, King County, WA",964,93981,550279,31.6076,676,17.4775,77.6971,404,15.8163,0,13.3663,5.102,1.2755,56.6372,655,2011,,,,,,,,,,
"BG0039001, King County, WA",1668,63136,460684,22.4242,734,10.1343,74.3405,746,26.1972,2.815,18.3647,10.2817,3.662,36.0976,654,2011,,,,,,,,,,
"BG0039002, King County, WA",1088,125284,579327,31.0667,1468,4.2065,79.4118,433,26.8235,0,0,10.3529,3.2941,53.9936,673,2011,,,,,,,,,,
"BG0040001, King County, WA",1689,74554,382353,25.1124,877,18.0348,71.5808,985,26.6138,5.0761,54.1117,7.701,0,30.343,667,2011,,,,,,,,,,
"BG0040002, King County, WA",1000,146512,801692,29.8137,1425,15.1079,82.7,352,10.2941,0,0,7.6471,0,46.6926,670,2011,,,,,,,,,,
"BG0041001, King County, WA",1467,46300,652500,40.2908,997,36.3878,70.3476,703,71.2144,2.1337,49.2176,12.2939,4.3478,38.5965,650,2011,,,,,,,,,,
"BG0041002, King County, WA",1678,164458,828571,42.3841,1000,5.4152,83.0751,692,7.837,0,4.7688,12.3824,4.232,34.4156,649,2011,,,,,,,,,,
"BG0041003, King County, WA",1461,211426,1000000,51.0427,994,13.253,88.7748,512,7.8471,0,0,12.2736,4.2254,48.3721,665,2011,,,,,,,,,,
"BG0041004, King County, WA",1208,87250,515244,50.3975,1335,18.8482,82.202,616,54.4379,25.1623,10.5519,12.426,4.3393,76.5957,662,2011,,,,,,,,,,
"BG0041005, King County, WA",1135,72794,843447,35.6449,826,10.3314,75.2423,443,41.4692,0,26.6365,12.3223,4.0284,42.2594,662,2011,,,,,,,,,,
"BG0041006, King County, WA",885,217795,1000000,38.6992,0,0,89.8305,331,0,0,0,12.4204,4.1401,60.1351,648,2011,,,,,,,,,,
"BG0042001, King County, WA",1573,113833,627976,46.8972,913,11.7717,85.3147,701,27.3828,4.9929,8.7019,16.0363,3.6309,42.8884,642,2011,,,,,,,,,,
"BG0042002, King County, WA",1617,83168,565154,38.4753,1236,15.6863,66.1719,657,26.0252,8.3714,7.1538,15.9306,3.6278,43.7975,640,2011,,,,,,,,,,
"BG0042003, King County, WA",1507,87336,490909,56.5217,1166,25.5682,75.9124,711,48.1259,6.8917,17.1589,15.8921,3.8981,53.252,658,2011,,,,,,,,,,
"BG0042004, King County, WA",1472,89506,461600,43.5354,1061,17.093,84.1712,614,25.6849,3.5831,9.772,15.9247,3.7671,28.3105,650,2011,,,,,,,,,,
"BG0042005, King County, WA",1418,113447,620146,48.2622,840,17.8255,83.2863,583,23.1858,0.8576,5.8319,15.9292,3.7168,38.8587,654,2011,,,,,,,,,,
"BG0043011, King County, WA",1230,42955,404412,30.6636,854,22.4329,60.1626,518,77.9874,5.4054,65.4441,5.0315,4.4025,63.7168,657,2011,,,,,,,,,,
"BG0043012, King County, WA",1214,99784,475333,40.4229,735,9.322,80.972,520,34.6856,1.1539,18.2693,5.071,4.4625,52.2556,634,2011,,,,,,,,,,
"BG0043013, King County, WA",1112,101563,622727,20.6198,2000,22.4417,84.8921,511,52.795,0,40.1174,5.176,4.3478,38.5057,634,2011,,,,,,,,,,
"BG0043021, King County, WA",2000,20509,300000,37.1429,851,19.5081,69.15,748,94.7826,9.2246,76.6042,4.9275,4.2029,0,634,2011,,,,,,,,,,
"BG0043022, King County, WA",1549,22521,592105,27.7519,833,19.8675,64.3641,911,94.321,1.5368,78.5949,5.0617,4.1975,9.0909,634,2011,,,,,,,,,,
"BG0044001, King County, WA",1283,115341,625718,39.3007,698,22.4234,82.8527,519,31.1245,0,18.1118,5.8233,5.0201,50.7092,653,2011,,,,,,,,,,
"BG0044002, King County, WA",1649,60795,579861,41.3402,679,26.0396,74.9545,785,64.3243,2.4204,48.6624,5.8108,5.1351,47.234,652,2011,,,,,,,,,,
"BG0044003, King County, WA",1608,107386,668831,35.014,863,29.3551,74.9378,488,56.3941,0,34.8361,5.87,5.2411,29.4737,641,2011,,,,,,,,,,
"BG0044004, King County, WA",1767,30056,470833,28.2776,774,19.8795,63.3277,930,95.6927,9.5699,73.8711,5.8207,5.1222,9.0909,637,2011,,,,,,,,,,
"BG0045001, King County, WA",1084,89732,479839,36.6218,1386,32.871,78.321,397,41.0995,0,10.3275,10.9948,9.9476,37.9679,631,2011,,,,,,,,,,
"BG0045002, King County, WA",1633,95905,575758,31.2604,1515,18.1118,85.2419,655,40.2844,4.8855,0,10.7425,9.7946,37.2093,650,2011,,,,,,,,,,
"BG0046001, King County, WA",1102,124265,651483,36.129,1000,4.9347,84.392,510,29.0526,0,7.8431,5.8947,5.0526,49.7512,638,2011,,,,,,,,,,
"BG0046002, King County, WA",1307,100847,574454,49.1787,931,9.8644,85.7689,614,38.5522,0,25.7329,5.8923,5.2189,41.9847,632,2011,,,,,,,,,,
"BG0046003, King County, WA",884,93750,579545,29.0424,1385,11.4545,84.276,354,10.9195,1.9774,2.8249,5.7471,4.8851,34.2975,626,2011,,,,,,,,,,
"BG0047001, King County, WA",1192,81250,486486,32.2141,827,25.8262,80.7047,603,50.6173,19.0713,13.1011,6.3492,1.2346,36.4035,644,2011,,,,,,,,,,
"BG0047002, King County, WA",1416,53540,379231,49.2565,843,17.1292,72.8107,767,68.8022,29.5958,23.8592,6.4067,1.1142,11.5607,633,2011,,,,,,,,,,
"BG0047003, King County, WA",2242,59868,286290,42.8166,852,25.9505,84.9242,1561,73.7682,2.7546,86.6751,6.3845,1.1797,0,625,2011,,,,,,,,,,
"BG0047004, King County, WA",1979,53997,264744,43.0239,886,32.6309,82.0111,1844,83.4821,4.6095,80.5315,6.3244,1.1905,0,624,2011,,,,,,,,,,
"BG0048001, King County, WA",1078,116548,585833,39.3902,1207,10.7242,85.2505,496,25.2632,2.621,3.2258,9.4737,1.4737,35.6667,641,2011,,,,,,,,,,
"BG0048002, King County, WA",1260,80412,465672,47.6,985,21.6507,83.7302,666,40.3175,5.4054,18.3183,9.5238,1.5873,25.8772,640,2011,,,,,,,,,,
"BG0048003, King County, WA",1067,66591,467059,43.9909,876,21.7877,82.0993,599,46.8582,29.0484,14.1903,9.5153,1.6158,10.6599,640,2011,,,,,,,,,,
