Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0007001, King County, WA",1562,38129,280769,21.8635,798,30.6599,47.8233,917,79.8544,5.5616,76.8811,8.1311,3.5194,16.2857,937,2010,,,,,,,,,,
"BG0007002, King County, WA",1136,51136,381250,39.6407,691,19.4602,60.3873,547,67.5351,4.3876,62.7057,8.2164,3.8076,8.3601,922,2010,,,,,,,,,,
"BG0007003, King County, WA",864,53247,363194,41.2817,1285,14.5488,67.4769,422,45.75,0,30.8057,8.25,3.5,34.5178,922,2010,,,,,,,,,,
"BG0007004, King County, WA",876,74679,429348,19.0934,849,9.9815,69.7489,407,46.5473,3.1941,25.5528,8.1841,3.8363,29.6667,919,2010,,,,,,,,,,
"BG0008001, King County, WA",1168,64198,380208,29.4956,659,17.4545,70.6336,503,30.8511,0,4.5726,5.7447,9.3617,42.9054,910,2010,,,,,,,,,,
"BG0008002, King County, WA",1415,75702,420339,32.2736,1138,19.5122,78.3746,583,16.8739,0,4.8027,5.6838,9.2362,41.1184,902,2010,,,,,,,,,,
"BG0009001, King County, WA",1093,97204,593750,32.2014,1313,9.8976,81.2443,479,34.8993,0,9.6033,21.2528,2.9083,25.974,897,2010,,,,,,,,,,
"BG0009002, King County, WA",926,126607,815848,23.7705,875,19.5473,80.8855,427,19.5373,0,9.1335,21.0797,3.0848,62.782,893,2010,,,,,,,,,,
"BG0010001, King County, WA",902,61298,380435,10.2178,875,4.8832,58.3149,382,38.0822,6.8063,17.5393,10.9589,1.0959,34.1667,890,2010,,,,,,,,,,
"BG0010002, King County, WA",1039,90116,512605,31.4165,833,6.8421,73.6285,420,30,2.6191,20,10.75,1,40.9091,885,2010,,,,,,,,,,
"BG0011001, King County, WA",1223,82595,395802,34.6113,733,9.4994,68.2747,581,44.3396,4.8193,17.5559,8.4906,10.1887,45,883,2010,,,,,,,,,,
"BG0011002, King County, WA",1280,77899,380357,22.0269,1074,11.6945,75.2344,554,33.5227,1.6246,18.7726,8.1439,10.4167,25.5682,881,2010,,,,,,,,,,
"BG0012001, King County, WA",1262,74265,375936,46.5193,1054,12.4457,73.1379,543,39.0291,0,17.6796,4.0777,1.5534,29.4326,870,2010,,,,,,,,,,
"BG0012002, King County, WA",1149,47882,445000,25.8687,819,46.732,57.0061,557,77.8626,3.2316,60.5027,4.0076,1.5267,33.871,864,2010,,,,,,,,,,
"BG0012003, King County, WA",1349,21257,187736,33.5871,522,41.8458,63.6027,1002,87.2017,1.3972,94.511,4.1215,1.5184,0,863,2010,,,,,,,,,,
"BG0012004, King County, WA",1217,40921,231500,26.9729,936,30.4348,46.3435,676,80.7936,15.8284,79.4379,4.127,1.5873,5.4054,858,2010,,,,,,,,,,
"BG0012005, King County, WA",1517,39593,205385,33.1579,888,20.9622,49.176,903,77.5091,0,76.3012,4.1113,1.451,22.3188,856,2010,,,,,,,,,,
"BG0013001, King County, WA",1593,42324,300000,28.1992,813,17.6125,65.4739,869,71.2515,15.9954,54.3153,3.2218,1.487,16.3142,852,2010,,,,,,,,,,
"BG0013002, King County, WA",1361,41611,291038,13.9752,697,33.8425,49.3755,680,76.1453,3.8235,55.2941,3.4755,1.5798,6.5116,850,2010,,,,,,,,,,
"BG0013003, King County, WA",1386,56213,448165,47.3588,878,7.5343,61.9769,739,71.2012,6.7659,43.4371,3.4732,1.3025,27.3038,846,2010,,,,,,,,,,
"BG0014001, King County, WA",1072,67257,407979,20,803,4.1139,77.1455,539,43.2927,5.7514,30.9833,12.8049,4.2683,10.9827,846,2010,,,,,,,,,,
"BG0014002, King County, WA",1071,82750,423478,28.271,940,25.8621,78.9916,516,37.395,0,29.0698,12.8151,4.4118,39.0879,842,2010,,,,,,,,,,
"BG0014003, King County, WA",1360,52817,398026,25.2964,810,15.6888,68.3088,670,66.1994,2.0896,26.5671,12.9283,4.3614,7.7562,839,2010,,,,,,,,,,
"BG0014004, King County, WA",1345,94481,457488,33.502,1500,9.9596,86.6915,582,4.6263,0,0,12.9893,4.2705,25.8462,838,2010,,,,,,,,,,
"BG0015001, King County, WA",1205,89890,583633,38.0849,866,6.9364,90.2075,539,19.0291,0,10.9462,16.5049,5.0485,40.7285,832,2010,,,,,,,,,,
"BG0015002, King County, WA",1249,113007,601190,25.7053,922,4.426,89.6717,586,9.3357,0,5.1194,16.6966,5.0269,33.3333,830,2010,,,,,,,,,,
"BG0016001, King County, WA",1375,130797,800962,34.6708,1568,8.4084,91.4182,567,8.5766,0,0,10.5839,3.8321,37.0647,827,2010,,,,,,,,,,
"BG0016002, King County, WA",1342,104938,636603,38.2236,2000,13.0699,86.5127,567,5.6569,0,0,10.4015,3.8321,31.9261,824,2010,,,,,,,,,,
"BG0016003, King County, WA",1414,62500,415169,32.397,771,13.4349,72.2065,713,43.4655,3.0856,29.1725,10.5727,3.9648,26.6129,811,2010,,,,,,,,,,
"BG0017011, King County, WA",1605,53198,380000,39.0713,909,21.179,60.9346,891,59.1449,0,67.4523,9.5012,3.4442,38.5093,807,2010,,,,,,,,,,
"BG0017012, King County, WA",1113,62050,286957,37.1396,717,16.7951,77.1788,624,38.8034,2.4039,44.7115,9.4017,3.4188,8.3333,807,2010,,,,,,,,,,
"BG0017013, King County, WA",1100,57216,331818,44.4183,617,12.6198,69.7273,536,42.0635,15.2985,26.306,9.5238,3.373,17.1946,805,2010,,,,,,,,,,
"BG0017021, King County, WA",1322,57348,397727,38.5496,722,14.3043,69.5915,734,59.9119,5.0409,36.3761,9.5448,3.5242,26.764,803,2010,,,,,,,,,,
